isbn,Author,Category,Author_NY,Title_NY,author_gender
0345527682,EVANOVICH JANET,Mystery/Detective,Janet Evanovich,SMOKIN&#39; SEVENTEEN,female
1455521205,BALDACCI DAVID,Suspense/Thrillers,David Baldacci,THE TARGET,male
045146317X,BUTCHER JIM,Fantasy,Jim Butcher,CHANGES,male
0307408841,LARSON ERIK,Biography/Autobiography/Memoir,Erik Larson,IN THE GARDEN OF BEASTS,male
0316018724,PATTERSON JAMES,Suspense/Thrillers,James Patterson,CROSS COUNTRY,male
0743296435,PICOULT JODI,Fiction General,Jodi Picoult,HOUSE RULES,female
067443000X,PIKETTY THOMAS,Business/Economics,Thomas Piketty,CAPITAL IN THE TWENTY-FIRST CENTURY,multi
0312383282,EVANOVICH JANET,Mystery/Detective,Janet Evanovich,FINGER LICKIN&#39; FIFTEEN,female
0743270428,FLYNN VINCE,Fiction General,Vince Flynn,EXTREME MEASURES,male
0446573019,BALDACCI DAVID,Suspense/Thrillers,David Baldacci,ZERO DAY,male
0399157212,CORNWELL PATRICIA,Suspense/Thrillers,Patricia Cornwell,PORT MORTUARY,female
0345531051,STEEL DANIELLE,Fiction General,Danielle Steel,BLUE,female
0345546881,GIFFIN EMILY,Fiction General,Emily Giffin,THE ONE AND ONLY,female
0553807056,KOONTZ DEAN R.,Suspense/Thrillers,Dean R Koontz,ODD HOURS,male
0425247546,HAMILTON LAURELL K.,Romance,Laurell K Hamilton,KISS THE DEAD,female
0399158618,CUSSLER CLIVE,Action/Adventure,Clive Cussler and Justin Scott,THE THIEF,multi
0316097497,PATTERSON JAMES,Mystery/Detective,James Patterson and Maxine Paetro,11TH HOUR,multi
0425222195,HAMILTON LAURELL K.,Fantasy,Laurell K Hamilton,BLOOD NOIR,female
141659518X,FLYNN VINCE,Suspense/Thrillers,Vince Flynn,AMERICAN ASSASSIN,male
147674906X,CLARK MARY HIGGINS,Suspense/Thrillers,Mary Higgins Clark,I&#39;VE GOT YOU UNDER MY SKIN,female
0316228532,ROWLING J. K.,Fiction General,J K Rowling,THE CASUAL VACANCY,female
1401324436,CASTLE RICHARD,Mystery/Detective,Richard Castle,HEAT RISES,male
0743296419,PICOULT JODI,Fiction General,Jodi Picoult,HANDLE WITH CARE,female
0312600844,FRANZEN JONATHAN,Fiction General,Jonathan Franzen,FREEDOM,male
1400069807,MOSS MICHAEL,Health/Fitness/Medicine/Sports,Michael Moss,SALT SUGAR FAT,male
0441020313,HARRIS CHARLAINE,Fantasy,Charlaine Harris,DEAD RECKONING,female
0525952926,FOLLETT KEN,Fiction General,Ken Follett,WINTER OF THE WORLD,male
1455559822,BALDACCI DAVID,Suspense/Thrillers,David Baldacci,MEMORY MAN,male
0399170898,ROBB J. D.,Romance,J D Robb,BROTHERHOOD IN DEATH,unknown
0399155848,COULTER CATHERINE,Suspense/Thrillers,Catherine Coulter,KNOCKOUT,female
1439197512,INGRAHAM LAURA,History/Law/Political Science,Laura Ingraham,THE OBAMA DIARIES,female
0525951652,FOLLETT KEN,Fiction General,Ken Follett,FALL OF GIANTS,male
0553801473,MARTIN GEORGE R. R.,Fantasy,George R R Martin,A DANCE WITH DRAGONS,male
0385344341,CHILD LEE,Mystery/Detective,Lee Child,NEVER GO BACK,male
0525953485,COBEN HARLAN,Mystery/Detective,Harlan Coben,SIX YEARS,male
1594633665,HAWKINS PAULA,Suspense/Thrillers,Paula Hawkins,THE GIRL ON THE TRAIN,female
0316204366,GLADWELL MALCOLM,Nonfiction General,Malcolm Gladwell,DAVID AND GOLIATH,male
0307959473,GATES ROBERT MICHAEL,Biography/Autobiography/Memoir,Robert M Gates,DUTY,male
0316407046,PATTERSON JAMES,Suspense/Thrillers,James Patterson,CROSS JUSTICE,male
1451658907,KING STEPHEN,Fantasy,Stephen King,THE WIND THROUGH THE KEYHOLE,multi
0307592731,STRAYED CHERYL,Biography/Autobiography/Memoir,Cheryl Strayed,WILD,female
030758836X,FLYNN GILLIAN,Suspense/Thrillers,Gillian Flynn,GONE GIRL,female
0399162372,SANDFORD JOHN,Mystery/Detective,John Sandford,DEADLINE,male
1596986247,LIMBAUGH DAVID,History/Law/Political Science,David Limbaugh,CRIMES AGAINST LIBERTY,male
0399155341,STOCKETT KATHRYN,Fiction General,Kathryn Stockett,THE HELP,female
0399163840,GRAFTON SUE,Mystery/Detective,Sue Grafton,X,female
031621129X,PATTERSON JAMES,Mystery/Detective,James Patterson and Maxine Paetro,UNLUCKY 13,multi
1439176191,CHENEY DICK,Biography/Autobiography/Memoir,Dick Cheney,IN MY TIME,multi
0670024783,KIDD SUE MONK,Fiction General,Sue Monk Kidd,THE INVENTION OF WINGS,female
1451668945,CLARK MARY HIGGINS,Mystery/Detective,Mary Higgins Clark,DADDY&#39;S GONE A HUNTING,female
141654383X,THOR BRAD,Suspense/Thrillers,Brad Thor,THE LAST PATRIOT,male
0316018783,PATTERSON JAMES,Suspense/Thrillers,James Patterson,CROSS FIRE,male
0399158820,ROBB J. D.,Mystery/Detective,J D Robb,CALCULATED IN DEATH,unknown
0307273571,BINCHY MAEVE,Fiction General,Maeve Binchy,A WEEK IN WINTER,female
140006712X,SEE LISA,Fiction General,Lisa See,DREAMS OF JOY,female
0061992704,HALPERN JUSTIN,Humor,Justin Halpern,_____ MY DAD SAYS,male
0385340567,CHILD LEE,Suspense/Thrillers,Lee Child,NOTHING TO LOSE,male
1416570861,CLARK MARY HIGGINS,Suspense/Thrillers,Mary Higgins Clark,JUST TAKE MY HEART,female
0425241130,HAMILTON LAURELL K.,Romance,Laurell K Hamilton,HIT LIST,female
0399160450,CLANCY TOM,Suspense/Thrillers,Tom Clancy with Mark Greaney,THREAT VECTOR,multi
0446195502,BALDACCI DAVID,Fiction General,David Baldacci,DIVINE JUSTICE,male
0399155678,SANDFORD JOHN,Suspense/Thrillers,John Sandford,WICKED PREY,male
038553082X,KAKU MICHIO,Reference,Michio Kaku,THE FUTURE OF THE MIND,male
044654759X,SPARKS NICHOLAS,Fiction General,Nicholas Sparks,SAFE HAVEN,male
0316018708,PATTERSON JAMES,Suspense/Thrillers,James Patterson and Howard Roughan,SAIL,multi
0451235843,WARD J. R.,Romance,J R Ward,LOVER REBORN,unknown
0385504225,BROWN DAN,Suspense/Thrillers,Dan Brown,THE LOST SYMBOL,male
1451668864,CLARK MARY HIGGINS,Suspense/Thrillers,Mary Higgins Clark,THE LOST YEARS,female
1621573133,KLEIN EDWARD,History/Law/Political Science,Edward Klein,BLOOD FEUD,male
0062290797,KYLE CHRIS,Biography/Autobiography/Memoir,Chris Kyle with Scott McEwen and Jim DeFelice,AMERICAN SNIPER,multi
0446547654,SPARKS NICHOLAS,Fiction General,Nicholas Sparks,THE BEST OF ME,male
0345518519,GRIFFIN KATHY,Biography/Autobiography/Memoir,Kathy Griffin,OFFICIAL BOOK CLUB SELECTION,female
1594205116,JACKSON PHIL,Biography/Autobiography/Memoir,Phil Jackson and Hugh Delehanty,ELEVEN RINGS,multi
0316211230,PATTERSON JAMES,Suspense/Thrillers,James Patterson and Marshall Karp,NYPD RED 2,multi
0670023485,HARKNESS DEBORAH E.,Horror/Occult/Psychological,Deborah Harkness,SHADOW OF NIGHT,female
0446564087,BALDACCI DAVID,Suspense/Thrillers,David Baldacci,DELIVER US FROM EVIL,male
0446539252,KENNEDY EDWARD M.,Biography/Autobiography/Memoir,Edward M Kennedy,TRUE COMPASS,male
031621082X,PATTERSON JAMES,Mystery/Detective,James Patterson and Maxine Paetro,12TH OF NEVER,multi
0804138141,KALING MINDY,Humor,Mindy Kaling,WHY NOT ME?,female
1416571760,MCCULLOUGH DAVID,History/Law/Political Science,David McCullough,THE GREATER JOURNEY,male
1439173249,LEVIN MARK R.,Nonfiction General,Mark R Levin,AMERITOPIA,male
0316097543,PATTERSON JAMES,Suspense/Thrillers,James Patterson and Marshall Karp,KILL ME IF YOU CAN,multi
0385344317,CHILD LEE,Suspense/Thrillers,Lee Child,WORTH DYING FOR,male
0399158278,CRAIS ROBERT,Mystery/Detective,Robert Crais,TAKEN,male
1400067650,MEACHAM JON,Biography/Autobiography/Memoir,Jon Meacham,DESTINY AND POWER,male
0316198730,PATTERSON JAMES,Suspense/Thrillers,James Patterson,KILL ALEX CROSS,male
0385346875,SUMMITT PAT HEAD,Biography/Autobiography/Memoir,Pat Summitt with Sally Jenkins,SUM IT UP,multi
0804140847,HUFFINGTON ARIANNA,Self Help,Arianna Huffington,THRIVE,female
1439155208,BUSH LAURA,Biography/Autobiography/Memoir,Laura Bush,SPOKEN FROM THE HEART,female
0393072231,LEWIS MICHAEL,Business/Economics,Michael Lewis,THE BIG SHORT,male
0399157697,SANDFORD JOHN,Suspense/Thrillers,John Sandford,SHOCK WAVE,male
0316405345,PATTERSON JAMES,Suspense/Thrillers,James Patterson and David Ellis,INVISIBLE,multi
162157203X,D&#39;SOUZA DINESH,History/Law/Political Science,Dinesh D&#39;Souza,AMERICA,male
1451657498,POSNANSKI JOE,Biography/Autobiography/Memoir,Joe Posnanski,PATERNO,male
044101819X,BRIGGS PATRICIA,Fantasy,Patricia Briggs,SILVER BORNE,female
031603617X,PATTERSON JAMES,Suspense/Thrillers,James Patterson,CROSS FIRE,male
1476727651,KING STEPHEN,Horror/Occult/Psychological,Stephen King,DOCTOR SLEEP,male
0756404738,ROTHFUSS PATRICK,Fantasy,Patrick Rothfuss,THE WISE MAN&#39;S FEAR,male
0399157689,SANDFORD JOHN,Mystery/Detective,John Sandford,STOLEN PREY,male
0316143472,SEDARIS DAVID,Humor,David Sedaris,WHEN YOU ARE ENGULFED IN FLAMES,male
0553447785,BUSH GEORGE W.,Biography/Autobiography/Memoir,George W Bush,41,male
1596987782,D&#39;SOUZA DINESH,History/Law/Political Science,Dinesh D&#39;Souza,OBAMA&#39;S AMERICA,male
0743294297,WEINER JENNIFER,Fiction General,Jennifer Weiner,BEST FRIENDS FOREVER,female
045146379X,BUTCHER JIM,Fantasy,Jim Butcher,GHOST STORY,male
1439172498,WOODWARD BOB,History/Law/Political Science,Bob Woodward,OBAMA&#39;S WARS,male
0345530888,STEEL DANIELLE,Fiction General,Danielle Steel,UNTIL THE END OF TIME,female
140006760X,BROOKS DAVID,Self Help,David Brooks,THE SOCIAL ANIMAL,male
0312655479,PENNY LOUISE,Mystery/Detective,Louise Penny,HOW THE LIGHT GETS IN,female
0345542967,EVANOVICH JANET,Mystery/Detective,Janet Evanovich,TRICKY TWENTY-TWO,female
0374166854,FRIEDMAN THOMAS L.,History/Law/Political Science,Thomas L Friedman,"HOT, FLAT, AND CROWDED",male
0399155686,SILVA DANIEL,Suspense/Thrillers,Daniel Silva,THE DEFECTOR,male
0399158308,ROBB J. D.,Mystery/Detective,J D Robb,CELEBRITY IN DEATH,unknown
1250038820,STANTON BRANDON,Art/Architecture/Design/Photography,Brandon Stanton,HUMANS OF NEW YORK,male
0553807714,KOONTZ DEAN R.,Horror/Occult/Psychological,Dean Koontz,77 SHADOW STREET,male
0804178771,CHILD LEE,Suspense/Thrillers,Lee Child,MAKE ME,male
1416595201,FLYNN VINCE,Suspense/Thrillers,Vince Flynn,KILL SHOT,male
1476754454,KING STEPHEN,Horror/Occult/Psychological,Stephen King,MR. MERCEDES,male
1586485563,MCCLELLAN SCOTT,History/Law/Political Science,Scott McClellan,WHAT HAPPENED,male
006232005X,SILVA DANIEL,Mystery/Detective,Daniel Silva,THE HEIST,male
0525955097,COBEN HARLAN,Suspense/Thrillers,Harlan Coben,FOOL ME ONCE,male
0399156585,SILVA DANIEL,Suspense/Thrillers,Daniel Silva,THE REMBRANDT AFFAIR,male
0399157239,CLANCY TOM,Suspense/Thrillers,Tom Clancy with Grant Blackwood,DEAD OR ALIVE,multi
0446580848,DEMILLE NELSON,Suspense/Thrillers,Nelson DeMille,THE PANTHER,male
1455582271,MITCHELL ZUCKOFF WITH THE ANNE,History/Law/Political Science,Mitchell Zuckoff with members of the Annex Security Team,13 HOURS,male
1439172269,CLARK MARY HIGGINS,Suspense/Thrillers,Mary Higgins Clark,THE SHADOW OF YOUR SMILE,female
0316069485,CONNELLY MICHAEL,Suspense/Thrillers,Michael Connelly,THE REVERSAL,male
0385535147,GRISHAM JOHN,Suspense/Thrillers,John Grisham,THE RACKETEER,male
159523067X,RUMSFELD DONALD,Biography/Autobiography/Memoir,Donald Rumsfeld,KNOWN AND UNKNOWN,male
0525953094,FOLLETT KEN,Fiction General,Ken Follett,EDGE OF ETERNITY,male
0399155163,CORNWELL PATRICIA,Suspense/Thrillers,Patricia Cornwell,SCARPETTA,female
0399176608,BOX C. J.,Mystery/Detective,C J Box,OFF THE GRID,male
0399167064,MORIARTY LIANE,Fiction General,Liane Moriarty,BIG LITTLE LIES,female
0316036226,PATTERSON JAMES,Suspense/Thrillers,James Patterson and Michael Ledwidge,WORST CASE,multi
0316154695,SEDARIS DAVID,Humor,David Sedaris,LET&#39;S EXPLORE DIABETES WITH OWLS,male
0062073168,SILVA DANIEL,Mystery/Detective,Daniel Silva,THE ENGLISH GIRL,male
0446573108,BALDACCI DAVID,Suspense/Thrillers,David Baldacci,THE SIXTH MAN,male
0385537131,GRISHAM JOHN,Suspense/Thrillers,John Grisham,SYCAMORE ROW,male
0345542886,EVANOVICH JANET,Mystery/Detective,Janet Evanovich,TAKEDOWN TWENTY,female
0307268195,AGASSI ANDRE,Biography/Autobiography/Memoir,Andre Agassi,OPEN,multi
0385344430,GABALDON DIANA,Fantasy,Diana Gabaldon,WRITTEN IN MY OWN HEART&#39;S BLOOD,female
0312609809,ROMNEY MITT,History/Law/Political Science,Mitt Romney,NO APOLOGY,male
0316407062,PATTERSON JAMES,Suspense/Thrillers,James Patterson and Marshall Karp,NYPD RED 4,multi
031603438X,RICHARDS KEITH,Biography/Autobiography/Memoir,Keith Richards with James Fox,LIFE,multi
0307460983,MADDOW RACHEL,History/Law/Political Science,Rachel Maddow,DRIFT,female
1455521213,BALDACCI DAVID,Suspense/Thrillers,David Baldacci,THE HIT,male
0525952276,COBEN HARLAN,Mystery/Detective,Harlan Coben,STAY CLOSE,male
0399157034,ROBB J. D.,Mystery/Detective,J D Robb,TREACHERY IN DEATH,multi
0385517831,GRISHAM JOHN,Suspense/Thrillers,John Grisham,THE ASSOCIATE,male
0316211176,PATTERSON JAMES,Suspense/Thrillers,James Patterson and Mark Sullivan,PRIVATE BERLIN,multi
0062409859,LEE HARPER,Fiction General,Harper Lee,GO SET A WATCHMAN,female
0316069353,CONNELLY MICHAEL,Suspense/Thrillers,Michael Connelly,THE FIFTH WITNESS,male
0374158460,FRANZEN JONATHAN,Fiction General,Jonathan Franzen,FREEDOM,male
0312362153,KENYON SHERRILYN,Romance,Sherrilyn Kenyon,ACHERON,female
0312349513,EVANOVICH JANET,Mystery/Detective,Janet Evanovich,FEARLESS FOURTEEN,female
031640702X,PATTERSON JAMES,Suspense/Thrillers,James Patterson and Maxine Paetro,14TH DEADLY SIN,multi
0316089516,PATTERSON JAMES,Suspense/Thrillers,James Patterson and Liza Marklund,THE POSTCARD KILLERS,multi
1101965495,FOSTER ALAN DEAN,Science Fiction,Alan Dean Foster,THE FORCE AWAKENS,male
1250022061,PENNY LOUISE,Mystery/Detective,Louise Penny,THE LONG WAY HOME,female
0316024759,PATTERSON JAMES,Health/Fitness/Medicine/Sports,James Patterson and Hal Friedman,AGAINST MEDICAL ADVICE,multi
0316036218,PATTERSON JAMES,Fiction General,James Patterson and Michael Ledwidge,NOW YOU SEE HER,multi
0345499026,WILLIAMS SEAN,Science Fiction,Sean Williams,THE FORCE UNLEASHED,male
1451627289,KING STEPHEN,Fiction General,Stephen King,11/22/63,male
