ISBN,Publish Date,Season,Season (int)
0385528078,2013-09-24,Autumn,3
0385535139,2013-09-30,Autumn,3
1439187207,2013-10-01,Autumn,3
0061558265,2013-10-08,Autumn,3
1451628005,2013-10-08,Autumn,3
0060548940,2013-10-08,Autumn,3
0547577532,2013-10-22,Autumn,3
0399157824,2013-10-29,Autumn,3
0345511344,2013-10-29,Autumn,3
0060873027,2013-11-05,Autumn,3
0385337515,2013-10-01,Autumn,3
0307959856,2013-12-02,Winter,0
0399157808,2014-01-13,Winter,0
0312651317,2014-01-28,Winter,0
052595256X,2014-02-04,Winter,0
0446564370,2014-02-18,Winter,0
034551128X,2014-02-25,Winter,0
006211946X,2014-03-11,Spring,1
0765332000,2014-03-11,Spring,1
034553087X,2014-03-18,Spring,1
0061876909,2014-03-18,Spring,1
0385344228,2014-04-01,Spring,1
0307957934,2014-04-08,Spring,1
0812992792,2014-04-08,Spring,1
0525952764,2014-04-01,Spring,1
0316206822,2014-04-22,Spring,1
0307595110,2014-04-22,Spring,1
0312593309,2014-05-06,Spring,1
0312587538,2014-05-07,Spring,1
0312559135,2014-05-20,Spring,1
0061957895,2014-06-03,Summer,2
0525952640,2014-06-10,Summer,2
0345505719,2014-06-17,Summer,2
0758234937,2014-06-23,Summer,2
0399158618,2014-07-01,Summer,2
0441020038,2014-07-08,Summer,2
0345522869,2014-07-22,Summer,2
0312591829,2014-08-12,Summer,2
0312622899,2014-08-19,Summer,2
006146841X,2014-08-19,Summer,2
0525952276,2014-08-26,Summer,2
0061859303,2014-09-02,Autumn,3
0345521277,2014-09-02,Autumn,3
0451235843,2014-09-09,Autumn,3
0062049577,2014-09-16,Autumn,3
0312631685,2014-09-16,Autumn,3
1451668864,2014-09-23,Autumn,3
0061779741,2014-10-07,Autumn,3
0307378403,2014-10-07,Autumn,3
0062069888,2014-11-03,Autumn,3
0385536070,2014-11-11,Autumn,3
0312380828,2014-11-18,Autumn,3
0316185906,2014-11-18,Autumn,3
0061804193,2014-11-18,Autumn,3
0399159126,2014-11-24,Autumn,3
0399158863,2014-11-25,Autumn,3
1451658907,2014-12-09,Winter,0
0399159088,2014-12-30,Winter,0
1937007448,2015-01-13,Winter,0
0399158030,2015-01-20,Winter,0
0446572470,2015-02-03,Winter,0
0446573310,2015-02-24,Winter,0
0316097497,2015-03-10,Spring,1
0805090037,2015-03-17,Spring,1
1451628188,2015-03-24,Spring,1
1451664125,2015-04-07,Spring,1
0765330539,2015-04-14,Spring,1
0446574627,2015-04-21,Spring,1
0399157689,2015-04-21,Spring,1
0670023515,2015-05-04,Spring,1
0061692042,2015-05-12,Spring,1
0316098124,2015-05-12,Spring,1
0399160132,2015-05-19,Spring,1
1439156417,2015-05-26,Spring,1
030758836X,2015-06-02,Summer,2
0312642717,2015-06-02,Summer,2
0446564478,2015-06-09,Summer,2
0307599469,2015-07-14,Summer,2
0062067753,2015-07-28,Summer,2
193636574X,2015-08-04,Summer,2
0061784796,2015-08-11,Summer,2
031609983X,2015-08-25,Summer,2
0812992970,2015-08-25,Summer,2
0061928127,2010-04-01,Spring,1
0345528506,2015-09-08,Autumn,3
1451672721,2015-09-08,Autumn,3
0062106066,2015-10-13,Autumn,3
0062206281,2015-10-20,Autumn,3
0525952632,2015-10-27,Autumn,3
006165597X,2015-11-03,Autumn,3
0062073125,2015-11-03,Autumn,3
1451648138,2015-11-03,Autumn,3
0385534795,2015-11-03,Autumn,3
0312611617,2015-11-10,Autumn,3
0312554192,2015-11-17,Autumn,3
0385343213,2015-11-17,Autumn,3
0670023655,2015-03-10,Spring,1
0786962232,2016-02-02,Winter,0
0399157514,2016-02-16,Winter,0
0345530594,2016-02-23,Winter,0
0345535405,2016-03-08,Spring,1
1451645678,2008-05-13,Spring,1
0525952365,2008-04-30,Spring,1
0312655460,2008-05-06,Spring,1
034551064X,2008-04-01,Spring,1
1401322786,2008-05-13,Spring,1
0316097446,2008-04-08,Spring,1
0399159266,2008-04-29,Spring,1
1594203970,2008-04-29,Spring,1
0553807994,2007-10-09,Autumn,3
0451464761,2008-05-27,Spring,1
0399158499,2008-05-27,Spring,1
1594487367,2006-10-17,Autumn,3
1401324444,2007-02-13,Winter,0
031607991X,2008-06-03,Summer,2
1451665164,2008-04-21,Spring,1
0525952926,2008-05-06,Spring,1
0399159843,2008-08-01,Summer,2
0765321556,2008-07-29,Summer,2
076533271X,2008-07-29,Summer,2
0312616252,2008-08-05,Summer,2
0316228532,2008-07-15,Summer,2
045123801X,2008-08-05,Summer,2
143917282X,2008-08-05,Summer,2
0373777027,2008-08-19,Summer,2
0399157700,2008-08-26,Summer,2
0060004878,2008-09-08,Autumn,3
0312546343,2008-08-19,Summer,2
1594204772,2008-09-16,Autumn,3
1439152802,2008-09-23,Autumn,3
0312651244,2008-09-30,Autumn,3
1451647018,2008-10-06,Autumn,3
0316219363,2008-09-16,Autumn,3
0307907333,2008-10-07,Autumn,3
0525953604,2008-10-14,Autumn,3
1451638450,2008-10-20,Autumn,3
0316210684,2008-10-13,Autumn,3
145551604X,2008-10-28,Autumn,3
1476716692,2008-10-07,Autumn,3
0446554995,2008-11-04,Autumn,3
0399163832,2008-10-28,Autumn,3
039915986X,2008-10-07,Autumn,3
0446553972,2008-12-02,Winter,0
0525953612,2008-12-09,Winter,0
0316224588,2008-12-23,Winter,0
0345528670,2008-10-08,Autumn,3
0385344031,2008-12-30,Winter,0
0307273571,2009-01-20,Winter,0
0307957233,2009-02-03,Winter,0
0316097519,2009-02-09,Winter,0
0312550650,2009-02-24,Winter,0
0441020011,2009-02-17,Winter,0
0399161775,2009-03-03,Spring,1
039915812X,2009-03-03,Spring,1
0425252884,2009-03-24,Spring,1
0399160752,2009-03-24,Spring,1
0345523504,2009-03-03,Spring,1
0307959929,2008-09-01,Autumn,3
1455525588,2009-03-31,Spring,1
0525953485,2009-03-31,Spring,1
0312591837,2009-04-06,Spring,1
0062049607,2009-04-14,Spring,1
1451645821,2009-04-28,Spring,1
0345528816,2009-05-06,Spring,1
006222543X,2009-05-04,Spring,1
0062220756,2009-05-05,Spring,1
1451668945,2009-05-05,Spring,1
0399159878,2009-05-12,Spring,1
1594488398,2009-05-12,Spring,1
0812993144,2009-05-19,Spring,1
0345536665,2009-05-19,Spring,1
1250019982,2009-05-18,Spring,1
0812993845,2009-06-09,Summer,2
0399159096,2009-06-02,Summer,2
0062105620,2009-06-09,Summer,2
031621082X,2009-06-23,Summer,2
0778314936,2009-07-14,Summer,2
0345532740,2009-07-14,Summer,2
0399159312,2009-06-09,Summer,2
1451628293,2009-07-27,Summer,2
0670014893,2009-07-28,Summer,2
0399161570,2009-07-21,Summer,2
0061468436,2009-08-18,Summer,2
0345527380,2009-08-18,Summer,2
0307595854,2009-08-25,Summer,2
0345526546,2009-09-15,Autumn,3
0345543041,2009-09-15,Autumn,3
0525952977,2009-09-22,Autumn,3
0316211222,2009-09-15,Autumn,3
1400068312,2009-09-29,Autumn,3
0758258585,2009-09-28,Autumn,3
0425255700,2009-09-29,Autumn,3
0345539478,2009-09-29,Autumn,3
1476717095,2009-09-25,Autumn,3
0399157336,2009-10-13,Autumn,3
0345511425,2009-10-13,Autumn,3
0062073168,2009-09-15,Autumn,3
0316206849,2009-10-20,Autumn,3
1250019990,2009-10-20,Autumn,3
038553521X,2009-10-21,Autumn,3
1451626096,2009-10-14,Autumn,3
0525953876,2009-10-13,Autumn,3
0316211079,2009-10-27,Autumn,3
034552893X,2009-11-03,Autumn,3
140006788X,2009-11-02,Autumn,3
1620401398,2009-11-02,Autumn,3
0670026611,2009-11-10,Autumn,3
1476734615,2009-10-06,Autumn,3
0385344341,2009-12-01,Winter,0
0399158987,2009-11-03,Autumn,3
0399159509,2010-01-12,Winter,0
0062134671,2010-01-19,Winter,0
1476703221,2010-01-18,Winter,0
1455520659,2010-02-02,Winter,0
0399164421,2010-02-09,Winter,0
0670785695,2010-02-16,Winter,0
1476727651,2010-03-02,Spring,1
0307265749,2010-03-02,Spring,1
1455501514,2010-03-02,Spring,1
0316210986,2010-03-01,Spring,1
1455576646,2010-03-09,Spring,1
0385351399,2010-03-16,Spring,1
0312548176,2010-03-23,Spring,1
0553804693,2010-03-23,Spring,1
0307960498,2010-04-07,Spring,1
0385349963,2010-04-20,Spring,1
0385537131,2010-04-20,Spring,1
0399157883,2010-05-04,Spring,1
0679644059,2010-05-04,Spring,1
1250027659,2010-04-28,Spring,1
1451647050,2010-05-11,Spring,1
0307378411,2010-05-17,Spring,1
0062294377,2010-05-11,Spring,1
1455525839,2011-06-03,Summer,2
0345542886,2010-06-08,Summer,2
1455521310,2010-06-15,Summer,2
0316210919,2010-05-25,Spring,1
0399165894,2010-06-22,Summer,2
0670024783,2010-07-13,Summer,2
0425270793,2010-07-13,Summer,2
0399164154,2010-07-12,Summer,2
0061969702,2010-07-27,Summer,2
0525953086,2010-07-31,Summer,2
0399165266,2010-08-03,Summer,2
0345516532,2010-08-23,Summer,2
0385351836,2010-08-31,Summer,2
0399166300,2010-09-01,Autumn,3
1250050936,2010-08-17,Summer,2
1455547387,2010-08-24,Summer,2
0345505751,2010-08-03,Summer,2
0062083392,2010-09-09,Autumn,3
0307908259,2010-09-21,Autumn,3
0061957933,2010-09-28,Autumn,3
0758280378,2010-09-27,Autumn,3
0307594130,2010-09-24,Autumn,3
1250052017,2010-10-05,Autumn,3
1594204993,2010-09-28,Autumn,3
042525674X,2010-10-12,Autumn,3
1250034485,2010-10-12,Autumn,3
0385348452,2010-10-12,Autumn,3
0525953493,2010-10-12,Autumn,3
038553826X,2010-10-26,Autumn,3
1250036135,2010-11-01,Autumn,3
1250032350,2010-11-02,Autumn,3
1594633177,2011-01-04,Winter,0
0670026115,2010-12-21,Winter,0
0399164456,2011-01-11,Winter,0
1616203218,2011-01-11,Winter,0
0399165142,2011-01-25,Winter,0
0061656003,2011-02-01,Winter,0
0062311077,2011-02-01,Winter,0
1451628315,2011-03-01,Spring,1
1476758905,2011-03-15,Spring,1
0385351372,2011-03-08,Spring,1
1455517135,2011-03-08,Spring,1
0345546881,2011-03-15,Spring,1
1451640218,2011-03-29,Spring,1
0525954600,2011-03-22,Spring,1
0345527410,2012-03-27,Spring,1
0765329069,2011-04-15,Spring,1
0345542924,2011-04-26,Spring,1
159474713X,2011-05-03,Spring,1
0062220500,2011-05-03,Spring,1
0399157344,2011-05-10,Spring,1
006232005X,2011-05-17,Spring,1
0399169113,2011-05-17,Spring,1
039917334X,2011-05-24,Spring,1
0345530942,2011-05-24,Spring,1
0062134701,2011-05-10,Spring,1
0399167064,2011-05-31,Spring,1
0061784818,2011-05-17,Spring,1
1455581127,2011-05-31,Spring,1
147675666X,2011-06-07,Summer,2
1400065674,2011-07-19,Summer,2
0385539703,2011-08-08,Summer,2
0307956997,2011-06-14,Summer,2
0525953094,2011-08-15,Summer,2
