ISBN,Title,FirstDate,LastDate
1439136637,REVENGE WEARS PRADA,6/23/2013,7/21/2013
030727103X,THE BURIED GIANT,3/22/2015,5/3/2015
030737839X,THE SATURDAY BIG TENT WEDDING PARTY,4/10/2011,5/15/2011
042523567X,FLIRT,2/21/2010,3/21/2010
1476716692,AGENDA 21,12/9/2012,1/13/2013
145163806X,A RISING THUNDER,3/25/2012,4/1/2012
147671715X,CODE OF CONDUCT,7/26/2015,8/30/2015
141658661X,FULL BLACK,8/14/2011,9/18/2011
1439172803,SURVIVORS,10/23/2011,10/30/2011
1400065674,THE BONE CLOCKS,9/21/2014,1/11/2015
1439102392,SPIDER BONES,9/12/2010,10/3/2010
030726579X,HEART AND SOUL,3/8/2009,4/19/2009
039917088X,DEVOTED IN DEATH,10/4/2015,10/18/2015
145162607X,THE KINGMAKER&#39;S DAUGHTER,9/2/2012,9/16/2012
1439102430,BONES ARE FOREVER,9/16/2012,9/30/2012
1250019834,FIRST FROST,2/8/2015,3/1/2015
031609983X,SUMMERLAND,7/15/2012,7/29/2012
145558116X,FRICTION,9/6/2015,9/27/2015
1451628188,THE ROAD TO GRACE,5/27/2012,6/17/2012
1451681739,THE LIGHT BETWEEN OCEANS,8/19/2012,10/28/2012
1455517062,THE KILL ROOM,6/23/2013,7/7/2013
1451661509,THE SILVER STAR,6/30/2013,8/11/2013
125000098X,BEST KEPT SECRET,5/19/2013,6/16/2013
1400067111,SHANGHAI GIRLS,6/14/2009,8/23/2009
039917575X,TOM CLANCY UNDER FIRE,7/5/2015,8/9/2015
039915714X,CRESCENT DAWN,12/5/2010,1/16/2011
1439187312,THE WALK,4/25/2010,5/23/2010
125001011X,EVERY FIFTEEN MINUTES,5/3/2015,5/31/2015
1439187207,THE SNOW ANGEL,11/13/2011,1/8/2012
1439192987,BLACK LIST,8/12/2012,9/23/2012
1455525839,WHITE FIRE,12/1/2013,12/15/2013
1250029880,STYXX,9/22/2013,9/29/2013
1455527203,IDENTICAL,11/3/2013,12/8/2013
1400063841,LAST NIGHT IN TWISTED RIVER,11/15/2009,12/13/2009
