,ISBN,Publisher,Dewey,LC,Title,Number of Pages,Publish Place,Subject Place,Subject,Publish Date,on_NYT,publisher_id,publishplace_id,dewey_id,publisher_freq,publish_place_freq,dewey_freq,Author,author_id,author_frequency
4471,446564087,Grand Central Pub.,813/.54,PS3552.A446 D45 2010,Deliver us from evil,340.12267196424136,New York,0.0,294.75,2010.0,1,393,270,345,34,729,667,David Baldacci,801,16
4472,375424504,Pantheon Books,823/.914,PR6063.C326 D68 2010,The Double Comfort Safari Club,340.12267196424136,New York,1.0,278.22222220000003,2010.0,1,1090,270,324,8,729,89,Alexander McCall Smith,1629,9
4473,61160881,HarperCollinsPublishers,813/.54,PS3557.E478 T48 2010,This body of death,340.12267196424136,New York,39.5,209.0,2010.0,1,1232,270,345,2,729,667,Elizabeth George,578,5
4474,399156445,G.P. Putnam's Sons,813/.54,PS3573.O642 L83 2010,Lucid intervals,340.12267196424136,New York,0.0,249.28571430000002,2010.0,1,885,270,345,74,729,667,Stuart Woods,565,20
4475,399156461,G.P. Putnam's Sons,813/.54,PS3561.R44 B87 2010,Burning lamp,340.12267196424136,New York,59.0,297.44444439999995,2010.0,1,885,270,345,74,729,667,Jayne Ann Krentz,879,9
4476,312368151,,,,Eight Days to Live,340.12267196424136,,0.0,185.8666667,2005.0,1,0,0,0,0,0,0,Iris Johansen,2117,16
4477,316036277,"Little, Brown and Co.",813/.54,PS3566.A822 A6175 2010,The 9th judgment,355.0,New York,23.66666667,220.7272727,2010.0,1,1407,270,345,31,729,667,James Patterson,1772,44
4478,451229851,New American Library,813/.6,PS3623.A73227 L69 2010,Lover mine,340.12267196424136,New York,0.0,341.8,2010.0,1,1419,270,287,6,729,205,J. R. Ward,1364,6
4479,778327809,,,,Hannah's List,340.12267196424136,,0.0,436.25,2005.0,1,0,0,0,0,0,0,,0,0
4480,553805541,Bantam Books,813/.54,PS3561.I4813 G64 2010,The god of the hive,340.12267196424136,New York,59.0,160.8235294,2010.0,1,121,270,345,24,729,667,Laurie R. King,1089,5
4481,61988243,Harper,,,Island Beneath the Sea,340.12267196424136,,3.0,253.5714286,2010.0,1,1146,0,0,31,0,0,Isabel Allende,1581,3
4482,758212739,Kensington Pub. Corp.,813/.54,PS3563.I27 R48 2010b,Return to sender,279.0,New York,31.5,227.16666669999998,2010.0,1,730,270,345,2,729,667,Fern Michaels,539,3
4483,61655953,William Morrow,,,Reckless,340.12267196424136,,0.0,0.0,2010.0,1,1614,0,0,65,0,0,,0,0
4484,441018645,Ace Books,813/.54,PS3558.A6427 D4257 2010,Dead in the family,340.12267196424136,New York,6.0,293.0,2010.0,1,1204,270,345,14,729,667,Charlaine Harris,1188,11
4485,446562424,Grand Central Pub.,813/.54,PS3570.U754 I66 2010,Innocent,340.12267196424136,New York,0.0,593.0,2010.0,1,393,270,345,34,729,667,Scott Turow,984,2
4486,399156488,G.P. Putnam's Sons,813/.54,PS3566.A686 B57 2010,Blue-eyed devil,340.12267196424136,New York,0.0,273.0,2010.0,1,885,270,345,74,729,667,Robert B. Parker,1817,10
4487,385526350,Doubleday,,,Tell-All,340.12267196424136,,5.0,429.66666669999995,2010.0,1,1337,0,0,38,0,0,Chuck Palahniuk,1657,6
4488,385343663,Dial Press,813/.6,PR9199.4.R323 I57 2010,The imperfectionists,272.0,New York,0.0,363.0,2010.0,1,1286,270,287,5,729,205,Tom Rachman,1362,1
4489,345471016,Ballantine Books,813/.54,PS3566.I274 S34 2010,The scent of rain and lightning,340.12267196424136,New York,1.0,277.8333333,2010.0,1,449,270,345,59,729,667,Nancy Pickard,1280,1
4490,312554168,St. Martin's Press,,,Heart of the Matter,340.12267196424136,,0.0,205.625,2010.0,1,1442,0,0,69,0,0,Emily  Griffin,116,1
4491,446554960,Grand Central Publishing,,,Fever Dream,340.12267196424136,,0.0,309.6666667,2010.0,1,311,0,0,17,0,0,Douglas J. Preston,1108,9
4492,61560855,William Morrow,813/.54,PS3552.R68543 E98 2010,Executive intent,340.12267196424136,New York,35.0,345.6666667,2010.0,1,1614,270,345,65,729,667,Dale Brown,2126,3
4493,385340583,Delacorte Press,813/.54,PS3553.H4838 A614 2010,61 hours,340.12267196424136,New York,2.0,182.0,2010.0,1,930,270,345,42,729,667,Lee Child,662,8
4494,399156496,G. P. Putnam's Sons,813/.54,PS3569.A516 S76 2010,Storm prey,340.12267196424136,New York,9.0,261.0,2010.0,1,1253,270,345,46,729,667,John Sandford,1262,15
4495,385343302,Dell Books,823/.914,PR6052.A465 S426 2010,A secret affair,340.12267196424136,New York,0.0,430.66666669999995,2010.0,1,1172,270,324,1,729,89,Mary Balogh,1628,2
4496,61926515,Harper,813/.54,PS3563.A649 S87 2010,Supreme justice,340.12267196424136,New York,20.0,209.58333330000002,2010.0,1,1146,270,345,31,729,667,Phillip Margolin,341,3
4497,030726999X,Alfred A. Knopf,839.738,PT9876.22.A6933 L8413 2010,The girl who kicked the hornet's nest,340.12267196424136,New York,4.0,209.25,2010.0,1,1344,270,136,35,729,1,Stieg Larsson,550,4
4498,345509145,Del Rey,,,Allies (Star Wars: Fate of the Jedi),340.12267196424136,,0.0,165.2,2010.0,1,446,0,0,7,0,0,Christie Golden,82,6
4499,1451608217,Scribner,,,Blockade Billy,132.0,New York,0.0,397.0,2010.0,1,505,270,0,31,729,0,Stephen King,235,10
