ISBN,Title,FirstDate,LastDate
373773781,HEARTLESS,6/14/2009,6/21/2009
1476753652,THE INDUSTRIES OF THE FUTURE,3/6/2016,4/10/2016
1594487138,SO YOU&#39;VE BEEN PUBLICLY SHAMED,4/19/2015,4/10/2016
345521226,BREAKING THE RULES,4/10/2011,Not Found
62065246,THE ROUND HOUSE,10/21/2012,2/24/2013
1451628684,DEADLY STAKES,2/24/2013,Not Found
312354630,BEING ELIZABETH,9/7/2008,9/14/2008
1594201919,TRIED BY WAR,10/26/2008,4/10/2016
756406609,BLACKVEIL,2/20/2011,Not Found
670025771,THE SECRET CHORD,10/25/2015,11/1/2015
812993144,TAPESTRY OF FORTUNES,4/28/2013,Not Found
345500679,THE FIRE,11/2/2008,Not Found
307957934,THE FEAR INDEX,2/19/2012,2/26/2012
1594205221,HOW NOT TO BE WRONG,6/22/2014,4/10/2016
446527890,BURNT MOUNTAIN,8/7/2011,Not Found
345545966,ASHLEY BELL,12/27/2015,1/31/2016
345521277,BORN TO DARKNESS,4/8/2012,Not Found
045146415X,THE TEARS OF THE SUN,9/25/2011,Not Found
399165959,LIVE RIGHT AND FIND HAPPINESS (ALTHOUGH BEER IS MUCH FASTER),3/22/2015,4/10/2016
1101947411,A FEW OF THE GIRLS,3/20/2016,4/10/2016
1250014549,RELENTLESS STRIKE,9/20/2015,4/10/2016
031261456X,BURN,8/22/2010,Not Found
1594205345,DETROIT,3/3/2013,4/10/2016
385535937,WHERE NOBODY KNOWS YOUR NAME,3/16/2014,4/10/2016
307957233,VAMPIRES IN THE LEMON GROVE,3/3/2013,3/17/2013
1439187002,UNORTHODOX,3/4/2012,4/10/2016
034552554X,THE LANGUAGE OF FLOWERS,9/11/2011,10/9/2011
1451628501,DANCING WITH MYSELF,10/26/2014,Not Found
1476725160,IMPOSSIBLE ODDS,6/2/2013,Not Found
1451646968,KRIS JENNER...AND ALL THINGS KARDASHIAN,11/20/2011,4/10/2016
375425144,THE LOST ART OF GRATITUDE,10/11/2009,Not Found
425258742,HAVEN,8/19/2012,Not Found
62067753,THE LONG EARTH,7/8/2012,Not Found
307959945,THE DOG STARS,8/26/2012,9/16/2012
61974323,INTO THE WOODS,10/28/2012,Not Found
62114867,FOCUS,10/27/2013,Not Found
670022705,A HISTORY OF THE WORLD IN 100 OBJECTS,11/27/2011,4/10/2016
1401324827,DRIVING HEAT,10/4/2015,Not Found
046502811X,THEORETICAL MINIMUM,2/24/2013,Not Found
1455517151,SOLITUDE CREEK,5/31/2015,Not Found
399161589,ROBERT B. PARKER&#39;S CHEAP SHOT,5/25/2014,6/1/2014
743277023,LAST CALL,6/13/2010,4/10/2016
1439133611,MISSION OF HONOR,7/11/2010,Not Found
1400069262,BEATRICE AND VIRGIL,5/2/2010,5/9/2010
038552501X,THE BREAKTHROUGH,2/8/2009,4/10/2016
61711527,CINDERELLA ATE MY DAUGHTER,2/13/2011,4/10/2016
307346528,PERFECT FIFTHS,5/3/2009,Not Found
1250052017,"THE FALL OF THE GOVERNOR, PART 2",3/23/2014,Not Found
034550898X,THE CLONE WARS,8/17/2008,8/31/2008
1451617054,FALL FROM GRACE,4/8/2012,Not Found
525953892,DEVIL&#39;S BRIDGE,8/30/2015,Not Found
446583251,YOUNG MONEY,3/9/2014,4/10/2016
451464761,LORD OF MOUNTAINS,9/23/2012,Not Found
812993152,THE DREAM LOVER,5/3/2015,Not Found
1416576576,GOD&#39;S BANKERS,2/22/2015,4/10/2016
425256227,MAGIC BREAKS,8/17/2014,Not Found
812998405,WEST OF EDEN,2/28/2016,Not Found
1451626207,CUSTER,11/25/2012,Not Found
1476798842,THE IMMORTAL NICHOLAS,11/15/2015,12/27/2015
399176950,SATURN RUN,10/25/2015,Not Found
446572470,THE REVEREND&#39;S WIFE,5/20/2012,Not Found
1416550763,JAINA PROUDMOORE: TIDES OF WAR,9/16/2012,Not Found
446539708,THIS IS A BOOK,5/15/2011,4/10/2016
1400040159,1861,5/15/2011,Not Found
446583855,MONDAY MORNINGS,4/1/2012,4/15/2012
312567472,THE POWER TRIP,3/3/2013,3/10/2013
1594202397,THE END OF WALL STREET,4/25/2010,4/10/2016
046501948X,INTELLECTUALS AND SOCIETY,2/7/2010,4/10/2016
871407868,THE LAST KIND WORDS SALOON,5/25/2014,6/15/2014
670022594,MY FATHER AT 100,2/6/2011,4/10/2016
307407926,THE INHERITANCE,2/1/2009,4/10/2016
385524943,THE GARGOYLE,8/24/2008,9/7/2008
62349376,THE HARDER THEY COME,4/19/2015,Not Found
307393879,THE RED GARDEN,2/13/2011,2/27/2011
446527955,THE GIRLS OF AUGUST,7/27/2014,Not Found
1416587853,I HATE YOUR GUTS,11/23/2008,Not Found
1250036135,THE CAIRO AFFAIR,4/6/2014,Not Found
61988243,ISLAND BENEATH THE SEA,5/16/2010,6/13/2010
1594632022,LAST BUS TO WISDOM,9/6/2015,Not Found
979047080,SARAH,9/21/2008,Not Found
312372655,UP TILL NOW,6/8/2008,4/10/2016
1439149380,PRISONER OF THE STATE,6/7/2009,Not Found
1400043530,ANGEL TIME,11/15/2009,Not Found
1451654405,BLIND ALLEGIANCE TO SARAH PALIN,6/12/2011,Not Found
374299102,HOME,9/21/2008,10/12/2008
385537301,VOICES IN THE OCEAN,8/23/2015,4/10/2016
1416550747,JAINA PROUDMOORE: TIDES OF WAR,11/14/2010,Not Found
1579127495,THE NEW YORK TIMES,12/21/2008,4/10/2016
451462904,THE SWORD OF THE LADY,9/13/2009,Not Found
1594203180,ALL IN,2/12/2012,4/10/2016
316342513,EVEN DOGS IN THE WILD,2/7/2016,Not Found
140006709X,NIGHTWOODS,10/16/2011,11/6/2011
62238493,HAPPILY ALI AFTER,6/28/2015,4/10/2016
1416595619,THE BODIES LEFT BEHIND,11/30/2008,12/7/2008
61537934,THE ART OF RACING IN THE RAIN,6/8/2008,8/31/2008
61733148,ROAD DOGS,5/31/2009,6/21/2009
1400069599,TRANSATLANTIC,6/23/2013,7/14/2013
399156844,THE JUDAS GATE,1/23/2011,1/30/2011
1594205701,I&#39;LL DRINK TO THAT,9/28/2014,4/10/2016
345536665,MIDNIGHT AT MARBLE ARCH,4/28/2013,Not Found
446573647,AN OBJECT OF BEAUTY,12/12/2010,1/9/2011
345509625,DEATH TROOPERS,11/1/2009,11/8/2009
316219363,THE YELLOW BIRDS,11/11/2012,12/2/2012
1250029910,SON OF NO ONE,9/21/2014,Not Found
312591063,TO TRY MEN&#39;S SOULS,11/8/2009,11/15/2009
1439191158,"LATE, LATE AT NIGHT",10/31/2010,4/10/2016
61256684,WAITER RANT,8/17/2008,4/10/2016
385533853,ROBOPOCALYPSE,6/26/2011,7/3/2011
1592406890,TOUGH SH*T,4/8/2012,4/10/2016
1594202230,SHOP CLASS AS SOULCRAFT,6/21/2009,4/10/2016
307353753,PAUL NEWMAN,5/24/2009,4/10/2016
446546267,BIG MAN,11/8/2009,Not Found
1476727775,SOUNDS LIKE ME,10/25/2015,4/10/2016
