ISBN,Author,Publisher,Dewey,LC,Title,Number of Pages,Publish Place,Subject Place,Subject,Publish Date
409125201X,Rumiko Takahashi,Shogakukan,nan,nan,"InuYasha, Vol. 1  (Japanese Edition)",179,nan,0,18.8,nan
409125649X,Rumiko Takahashi,Shogakukan,nan,nan,"Inuyasha, Vol. 29 (Japanese Edition)",185,nan,0,0,nan
4091256473,Rumiko Takahashi,Shogakukan,nan,nan,"Inuyasha, Vol. 27 (Japanese Edition)",187,nan,0,0,nan
1569311935,Rumiko Takahashi,Viz Communications,741.5,PN6790.J33 T357 1996,"The return of Lum, Urusei Yatsura",213,"San Francisco, CA",1.0,100.5,1996
1569312109,Rumiko Takahashi,Viz Communications,nan,nan,Feudal furor,159,"San Francisco, CA",1.0,0.0,1997
8484497321,Rumiko Takahashi,nan,nan,nan,Lamu. Urusei Yatsura 7,408,nan,0,0,nan
8484497283,Rumiko Takahashi,nan,nan,nan,Lamu. Urusei Yatsura 3,nan,nan,0,0,nan
8484497313,Rumiko Takahashi,nan,nan,nan,"Lamu, Urusei Yatsura 6",408,nan,0,0,nan
8484497305,Rumiko Takahashi,nan,nan,nan,"Lamu, Urusei Yatsura 5",408,nan,0,0,nan
8484497291,Rumiko Takahashi,nan,nan,nan,Lamu. Urusei Yatsura 4,nan,nan,0,0,nan
1569310351,Rumiko Takahashi,Viz Communications,nan,nan,The return of Lum,207,San Francisco,1.0,0.0,1995
156931019X,Rumiko Takahashi,VIZ Media LLC,nan,nan,Lum Urusei Yatsura,400,nan,0,0,1997
409126512X,Rumiko Takahashi,Shogakukan,nan,nan,Ranma 1/2 (new edition) Vol. 12 (RANMA 1/2 (SHINSOUBAN)) (in Japanese),176,nan,0,0,2002
1591162866,Rumiko Takahashi,Viz Communications,741.5/952,PN6790.J33 T3387 2004,Ranma 1/2.,180,San Francisco,1.0,25.235294117647058,2004
8484491625,Rumiko Takahashi,Pujol & Amado S.L.L.,nan,nan,Ranma 1/2 25,192,nan,0,0,2002
1413901433,Ai Morinaga,ADV Manga,nan,nan,Your & My Secret Volume 1 (Your and My Secret),186,nan,0,167.0,2004
000647022X,Stephen R. Donaldson,HarperCollins,813.54,nan,Chaos and order,743,London,0,201.0,1995
1421513684,Yasuhiro Kano,VIZ Media LLC,nan,nan,Pretty Face Vol. 1 (Pretty Face),192,nan,0,167.0,2007
1889963852,Molly Lee,University of Alaska Press,nan,nan,Not Just a Pretty Face,80,nan,0,0.0,2006
1401211321,Kaoru Mori,CMX,nan,nan,Emma,192,nan,0,6.666666666666667,2006
1401211348,Kaoru Mori,CMX,nan,nan,Emma,192,nan,0,6.666666666666667,2007
1400040353,Lidia Bastianich,Alfred A. Knopf,nan,TX723 .B31897 2004,Lidia's family table,419,New York,0,0.0,2004
1400040361,Lidia Bastianich,Alfred A. Knopf,641.5945,TX723 .B3224 2007,Lidia's Italy,nan,New York,6.0,29.166666666666668,2007
1559360801,Federico García Lorca,Theatre Communications Group,862.62,PQ6613.A763 A235 1994,"Blood wedding ; and, Yerma",135,New York,0,201.5,1994
006097611X,Richard L. Powers,HarperPerennial,813/.54,PS3566.O92 O64 1994,Operation wandering soul,352,New York,28.666666666666668,45.0,1994
1405153601,Alister E. McGrath,Blackwell Pub.,230,BT65 .M34 2007,Christian theology,534,"Malden, MA",0,56.2,2007
140515358X,Alister E. McGrath,Blackwell Pub.,230,BT77 .C47 2007,The Christian theology reader,744,"Malden, MA",0,0.0,2007
037570115X,Martin Amis,Vintage International,nan,nan,Heavy Water,nan,nan,0,0,2000
057121200X,Hanif Kureishi,Faber and Faber,nan,nan,Intimacy,128,nan,42.0,39.916666666666664,2001
057119222X,Hanif Kureishi,Faber and Faber,nan,nan,Love in a Blue Time,224,nan,0,201.0,2003
3423105518,Umberto Eco,Deutscher Taschenbuch-Verlag,nan,nan,Der Name der Rose,654,München,3.0,5.0588235294117645,1987
2253033138,Umberto Eco,Grasset,nan,PQ4865,Le nom de la rose,633,Paris,3.0,5.0588235294117645,1982
3446140379,Umberto Eco,Carl Hanser,nan,nan,Nachschrift zum Namen der Rose.,95,nan,0,0.0,1987
3804416276,Umberto Eco,Bange,nan,nan,Der Name der Rose,nan,nan,3.0,5.0588235294117645,1998
8420482277,Manuel Rivas,"Alfaguara Ediciones, S.A. (Spain)",nan,nan,"Que Me Quieres, Amor?",nan,nan,0,0,2001
8483022613,Manuel Rivas,Edicíons Xerais de Galicia,nan,MLCS 99/03957 (P),O lapis do carpinteiro,148,Vigo,0,0,1999
8483025914,Manuel Rivas,nan,nan,nan,A Man Dos Painos,143,nan,0,0,nan
849782461X,Manuel Rivas,Edicions Xerais de Galicia,nan,nan,Os Libros Arden Mal,746,nan,0,0,2006
8477271054,Quim Monzó,Quaderns Crema,nan,PC3942.23.O53 P47 1993,El perquè de tot plegat,169,Barcelona,0,0,1993
8433924788,Quim Monzo,Anagrama,nan,nan,Ochenta y Seis Cuentos,nan,nan,0,0,2001
847727164X,Quim Monzó,Quaderns Crema,nan,MLCS 97/04884 (P),Guadalajara,197,Barcelona,0,0,1996
8473110102,Quim Monzó,Iniciativas Editoriales,849/.9/354,PC3942.23.O53 S4,Self service,255,[Barcelona,0,0,1977
1585420824,Jeremy Rifkin,J.P. Tarcher/Putnam,650/.0285/4678,HF5548.32 .R54 2000,The age of access,312,New York,0,16.12,2000
1556591608,Pablo Neruda,Copper Canyon Press,861/.62,PQ8097.N4 L5 2001,The book of questions,78,"Port Townsend, Wash",0,0.0,2001
1570915067,Margery Facklam,Charlesbridge Publishing,nan,nan,Bugs for Lunch / Insectos para el Almuerzo,32,nan,0,0,2002
1578050499,David James Duncan,Sierra Club Books,nan,nan,My Story as Told by Water,304,nan,0,0.6666666666666666,2001
061812733X,Elizabeth Gilbert,Houghton Mifflin Co.,nan,nan,Stern men,289,Boston,7.0,11.125,2001
031228621X,Caroline Sharp,St. Martins Griffin,nan,nan,The Writer's Notebook: Daily Exercises for the Writing Life,nan,nan,0,0.3333333333333333,2002
037582846X,David Levithan,Alfred A. Knopf,[Fic],PZ7.L5798 Ar 2005,Are we there yet?,215,New York,6.0,4.666666666666667,2005
1931520119,Sean Stewart,Small Beer Press,813/.54,PR9199.3.S794 P47 2004,Perfect circle,243,"Northampton, MA",0,5.0,2004
019289322X,Bryan Magee,Oxford University Press,190,B72 .M34 2000,The great philosophers,352,Oxford,0,21.5,2000
190414845X,Bruce Arnold,Liffey Press,823/.912,PR6019.O9 U57 2004,The scandal of Ulysses,346,Dublin,0,12.142857142857142,2004
1573229717,James McBride,Riverhead Books,813.54,nan,Miracle at St. Anna,306,New York,6.0,9.0,2003
342661278X,James McBride,Droemer Knaur,nan,nan,Die Farbe von Wasser. Erinnerungen,317,nan,0,0,2001
1932796789,Margaret Weis,Devil's Due Publishing,nan,nan,Dragonlance - Chronicles Volume 2,192,nan,0,0,2007
1400032385,Anna Deavere Smith,Anchor Books,700/.23,BF411 .S58 2006,Letters to a young artist,nan,New York,0,67.16666666666667,2006
1583332057,Jessica Porter,Avery,613.2/5,RM235 .P67 2004,The hip chick's guide to macrobiotics,289,New York,0,0.0,2004
1931376344,Raphael Taffy,Small Planet Communications,nan,nan,The House on Mango Street (Book Club Novel Guide),48,nan,0,0,2003
1421507668,Hiromu Arakawa,VIZ Media LLC,nan,nan,The Art of Fullmetal Alchemist,96,nan,0,33.4,2006
1421508389,Hiromu Arakawa,Viz Media,nan,nan,Fullmetal Alchemist.,180,San Francisco,0,2.5,2007
471265187,DINAH MOCHE,nan,nan,nan,"ASTRONOMY: A SELF-TEACHING GUIDE, 6TH ED [RC GS 107]",nan,nan,0,0,nan
013187165X,Eric Chaisson,Benjamin Cummings,nan,nan,Astronomy,499,nan,0,0.0,2006
1857880781,Peter Robinson,Nicholas Brealey Publishing,nan,nan,Snapshots from Hell,286,nan,0,0,2003
1401207138,Alan Moore,DC Comics,741.5,nan,Watchmen,nan,New York,0,82.0,2005
1403969736,Jane Chance,Palgrave Macmillan,828/.91209,PR6039.O32 Z6224 2005,Tolkien's modern Middle Ages,nan,New York,59.0,19.46153846153846,2005
2266102710,J. R. R. Tolkien,Pocket,nan,nan,Faërie,217,nan,0,0,2000
026110330X,J. R. R. Tolkien,HarperCollins Publishers Ltd,nan,nan,The Hobbit,304,nan,0.0,17.142857142857142,1997
142150507X,Rumiko Takahashi,Viz Media,741.5952,PN6790,Ranma 1/2.,192,San Francisco,1.0,25.235294117647058,2006
1569319626,Rumiko Takahashi,Viz,nan,nan,Ranma ½,nan,nan,0,38.45454545454545,2003
1421505061,Rumiko Takahashi,Viz Media,741.5/952,PN6790.J33 T3387 2006,Ranma 1/2.,178,San Francisco,1.0,25.235294117647058,2006
1421505053,Rumiko Takahashi,Viz Media,741.5/952,PN6790.J33 T3387 2006,Ranma 1/2,182,San Francisco,1.0,25.235294117647058,2006
1591161290,Rumiko Takahashi,Viz,nan,nan,Ranma ½,nan,nan,0,38.45454545454545,2004
1591164842,Rumiko Takahashi,VIZ Media LLC,nan,nan,"Mermaid Saga, Vol. 2",184,nan,0,167.0,2004
1421502798,Rumiko Takahashi,VIZ Media LLC,nan,nan,"Maison Ikkoku, Volume 15",208,nan,0,44.75,2006
1421501422,Rumiko Takahashi,VIZ Media LLC,nan,nan,"Maison Ikkoku, Volume 14",240,nan,0,103.5,2005
1591168694,Rumiko Takahashi,Viz,741.5/952,PN6790.J33 T3471 2005,Maison Ikkoku.,226,"San Francisco, CA",1.0,20.727272727272727,2005
1591163196,Rumiko Takahashi,Viz Comics,741.5,nan,Maison ikkoku.,226,"San Francisco, CA",1.0,20.727272727272727,2004
1591164222,Rumiko Takahashi,VIZ Media LLC,nan,nan,"Maison Ikkoku, Vol. 6",208,nan,0,402.0,2004
159116804X,Rumiko Takahashi,"Viz, LLC",741.5/952,nan,Maison ikkoku.,226,"San Francisco, Calif",1.0,20.727272727272727,2004
1591166179,Rumiko Takahashi,VIZ Media LLC,nan,nan,"Maison Ikkoku, Volume 9",232,nan,0,103.5,2005
1569312060,Rumiko Takahashi,VIZ Media LLC,nan,nan,Rumic World Trilogy (Volume 3),192,nan,0,402.0,1997
1591163528,Hayao Miyazaki,"VIZ, LLC",nan,nan,Nausicaä of the Valley of Wind,nan,"San Francisco, CA",0,14.0,2004
1591163544,Hayao Miyazaki,Viz Communications,741.5/952,PN6790.J33 M5951 2004,Nausicaä of the Valley of the Wind.,260,"San Francisco, CA",0,22.444444444444443,2004
1591164125,Hayao Miyazaki,Viz Communications,741.5/952,PN6790.J33 M5951 2004,Nausicaä of the Valley of the Wind.,151,"San Francisco, CA",0,22.444444444444443,2004
1591163552,Hayao Miyazaki,Viz Communications,741.5/952,PN6790.J33 M5951 2004,Nausicaä of the Valley of the Wind.,223,"San Francisco, CA",0,22.444444444444443,2004
2723433935,Hayao Miyazaki,Glénat,nan,nan,"Nausicaa, tome 5",150,nan,0,0,2002
2723433900,Hayao Miyazaki,Glénat,nan,nan,"Nausicaä de la vallée du vent, tome 2",131,nan,0,0,2000
2723433927,Hayao Miyazaki,Glénat,nan,nan,"Nausicaä de la vallée du vent, tome 4",133,nan,0,0,2002
2723433951,Hayao Miyazaki,Glénat,nan,nan,"Nausicaa, tome 7",144,nan,0,0,2002
2723433943,Hayao Miyazaki,Glénat,nan,nan,"Nausicaä de la vallée du vent, tome 6",160,nan,0,0,2001
2723433919,Hayao Miyazaki,Glénat,nan,nan,"Nausicaä de la vallée du vent, tome 3",149,nan,0,0,2001
2723432971,Hayao Miyazaki,Glénat,nan,nan,"Nausicaä de la vallée du vent, tome 1",131,nan,0,0,2000
9029052414,Nausicaa Marbe,Meulenhoff,nan,PT5881.23.A633 M36 1998,Mândraga,222,Amsterdam,0,0,1998
1401210821,Neil Gaiman,DC Comics,741.5/973,nan,The  absolute sandman.,612,"New York, NY",0,41.75,2006
1563892278,Neil Gaimen,DC Comics,nan,nan,The Sandman,nan,New York,0,0.0,1995
1585672793,William L. Shirer,Overlook TP,nan,nan,This Is Berlin,478,nan,0,0,2002
1841581224,William L. Shirer,Birlinn,nan,DD237 .S48 2001,"The nightmare years, 1930-1940",654,Edinburgh,19.5,34.333333333333336,2001
084394725X,"Elaine Barbieri,Constance O'Banyon,Evelyn Rogers,Bobbi Smith",Leisure Books,nan,CPB Box no. 2000 vol. 15,"Something borrowed, something blue",394,New York City,0,2.0,2000
1593080034,Антон Павлович Чехов,Barnes & Noble Classics,891.73/3,PG3456.A13 G38 2003b,Ward No. 6 and other stories,371,New York,0,201.5,2003
1850522316,Thomas Harris,Peerage Books,nan,PS3558.A6558 R45 1991,Red dragon,533,London,35.0,11.266666666666667,1991
1880216620,Robert R. McCammon,River City Pub.,813/.54,PS3563.C3345 S64 2002,Speaks the nightbird,726,"Montgomery, Ala",13.0,41.0,2002
039330695X,Tom D Crouch,W.W. Norton Co.,nan,nan,The Bishop's Boys,nan,"New York, N.Y.",0,0,1989
1565891740,Peter Van Houten,Crystal Clarity Publishers,nan,nan,Yoga Therapy for Overcoming Insomnia (Yoga Therapy),176,nan,0,167.0,2005
084395177X,Douglas Clegg,Leisure Books,813,PS3553.L3919,Nightmare house,340,New York,0,112.6,2004
084394580X,Douglas Clegg,Leisure Books,nan,nan,The Nightmare Chronicles,360,nan,0,1.0,1999
1881475719,Douglas Clegg,Cemetery Dance Pubns,nan,nan,Purity,120,nan,0,0,2000
1587670895,Douglas Clegg,Cemetery Dance Pubns,nan,nan,Isis,98,nan,59.0,5.333333333333333,2006
1582344728,Javier Cercas,Bloomsbury USA,nan,nan,Soldiers of Salamis,224,nan,5.0,63.0,2004
8483102986,Javier Cercas,Tusquets Editores,863/.64,PQ6653.E62 V45 2005,La velocidad de la luz,305,Barcelona,0,2.8333333333333335,2005
140003471X,Gabriel Garcia Márquez,Vintage International,nan,nan,Chronicle of a death foretold,120,New York,0.0,35.0,2003
9681336089,Gabriel Garcia Márquez,Diana,nan,nan,Vivir Para Contarla / To Live to Tell It (Spanish),580,nan,0,0,2002
968131588X,Gabriel Garcia Márquez,Editorial Diana Sa,nan,nan,La Hojarasca,nan,nan,0,0.8,2004
1400043336,Gabriel Garcia Márquez,Everyman's Library,863/.64,PQ8180.17.A73 G413 2004,The general in his labyrinth,248,New York,3.0,0.0,2004
8467204362,nan,nan,nan,nan,El Amor en los Tiempos del Colera,nan,nan,0.0,0.8571428571428571,nan
8501011207,Gabriel Garcia Márquez,Distribooks Int'l+inc,nan,nan,Relato De Um Naufrago,nan,nan,0,0,nan
081604161X,Dawn B. Sova,Facts on File,818/.309,PS2630 .S68 2001,"Edgar Allan Poe, A to Z",310,New York,0,42.25,2001
1889307157,nan,Re/Search Publications,nan,nan,RE/Search 4/5,140,nan,0,0,2007
1584350105,William S. Burroughs,Semiotext(e),813/.54,PS3552.U75 Z463 2001,Burroughs Live,847,"Los Angeles, USA",0,0.3333333333333333,2001
2020416409,Irvine Welsh,Seuil,nan,nan,Ecstasy. Trois contes d'amour chimique,358,nan,0,0,2000
8433970011,Irvine Welsh,Anagrama,nan,nan,Cola,nan,nan,0,0,2003
8481091847,Marshall McLuhan,Galaxia Gutenberg,nan,nan,"Galaxia Gutemberg, La",nan,nan,0,0,1999
8483101610,Javier Cercas,TusQuets,nan,nan,Soldados De Salamina/Soldiers of Salamis,209,nan,0,21.25,2001
1564741575,"Weld, John",Fithian Press,979.4/96,F869.L15 W45 1996,"Laguna, I love you",285,Santa Barbara,0.0,15.0,1996
1569755663,Gabrielle Euvino,Ulysses Press,nan,nan,Dirty Italian,128,nan,0,0.0,2006
043984777X,Gordon Korman,Scholastic,jC813/.54,PZ7.K8369 Ab 2006,The abduction,137,New York,0,60.5,2006
061358466X,Gordon Korman,Tandem Library,nan,nan,The Climb,nan,nan,0.0,0,2003
1416903445,Tamora Pierce,Simon Pulse,nan,nan,Wolf-Speaker,368,nan,0,51.44444444444444,2005
1579124577,Leonardo da Vinci,Black Dog & Leventhal,nan,nan,Leonardo's notebooks,334,New York,0,83.5,2005
006093140X,Doris Lessing,Perennial Classics,823/.914,PR6023.E833 G6 1999,The golden notebook,640,New York,33.333333333333336,52.833333333333336,1999
8472234592,Douglas R. Hofstadter,Tusquets,nan,nan,"Gödel, Escher, Bach",150,nan,0,17.333333333333332,2002
3423300175,Douglas R. Hofstadter,Dtv,nan,nan,"Gödel, Escher, Bach",843,Munich,0,17.333333333333332,1991
210005435X,Douglas R. Hofstadter,Dunod,nan,nan,"Gödel, Escher, Bach. Les Brins d'une Guirlande Eternelle",883,nan,0,0,2000
1585360724,Margot Theis Raven,Sleeping Bear Press,974.4,F64.3 .R38 2002,M is for Mayflower,nan,"Chelsea, MI",25.0,41.75,2002
1416933964,E.L. Konigsburg,Atheneum,nan,nan,"Jennifer, Hecate, Macbeth, William McKinley, and me, Elizabeth",117,New York,0,65.27272727272727,1967
9505110448,Megan McDonald,Alfaguara,nan,nan,Judy Moody,nan,nan,0,71.92857142857143,2004
076362800X,Peter H. Reynolds,Candlewick Press (MA),nan,nan,Judy Moody Declares Independence,nan,nan,0,0.8,2007
074459863X,Megan McDonald,Walker Books Ltd,nan,nan,The Judy Moody Mood Journal,128,nan,0,0,2003
1416909052,Marissa Moss,Simon & Schuster Books for Young Readers,[Fic],PZ7.M8535 Am 2006,Amelia's notebook,nan,New York,0,60.5,2006
068987040X,Marissa Moss,Simon and Schuster,nan,nan,Amelia's 6th Grade Notebook,nan,nan,0,0,2005
1887953795,Aeg,Alderac Entertainment Group (AEG),nan,nan,Legend of the Five Rings,96,nan,0,0,2003
287129352X,Desberg,Dargaud,nan,nan,Le scorpion t.2 ,48,nan,0,0,2001
1844580512,M. A. Harvey,Chrysalis Books,nan,nan,Attack of the Jaguar (Xtreme Adventures Inc.),127,nan,0,0,2004
1593080158,Lewis Carroll,Barnes & Noble Classics,823/.8,PR4611.A7 2004,Alice’s Adventures in Wonderland and Through the Looking-glass,286,"New York, USA",0.0,13.72549019607843,2004
034536239X,Sunzi,Ballantine Books,355.02,U101 .S95 1993b,Sun-tzu,321,New York,6.0,3.2857142857142856,1993
076534551X,J. V. Jones,Tor Fantasy,nan,nan,A Cavern of Black Ice (Sword of Shadows),792,nan,0,0,2005
1569473331,Stan Jones,Soho Crime,nan,nan,"White Sky, Black Ice",284,nan,0,0,2003
1574231006,Andrei Codrescu,Black Sparrow Press,808.8,AC5 .T45 1999,Thus spake the Corpse,nan,"Santa Rosa, CA",0,0.25,1999
1845882423,Friedrich Nietzsche,Nonsuch Publishing,nan,nan,"""Thus Spake Zarathustra""",nan,nan,0,0.07692307692307693,2006
1566199158,nan,Barnes & Noble,nan,nan,Les Miserables,nan,nan,0,4.0,1996
067986668X,Monica Kulling,Random House,[Fic],PZ7.K9490155 Le 1995,Les misérables,106,New York,12.0,54.666666666666664,1995
043925051X,Kate DiCamillo,Scholastic,[Fic],PZ7.D5455 Be 2000,Because of Winn-Dixie,182,New York,13.0,8.428571428571429,2000
078685152X,Avi,Hyperion Books for Children,nan,nan,Crispin,234,New York,25.0,35.13636363636363,2006
1417629754,Anne Mazer,Tandem Library,nan,nan,Best Is Yet to Come (Amazing Days of Abby Hayes Super Special,nan,nan,0,167.0,2004
1417629762,Anne Mazer,Tandem Library,nan,nan,the amazing days of abby hayes knowlege is power,97,nan,0,0,2004
1401210503,Peter David,DC Comics,nan,nan,Sachs & Violens,128,nan,0,0,2006
1585100358,Aristotle,Focus Pub./R. Pullins,nan,nan,Nicomachean ethics,214,"Newbury, MA",1.0,26.736842105263158,2002
185459768X,"Wright, Nicholas",Nick Hern,nan,PR6073.R529 H57 2003,His dark materials,236,London,0,87.6,2003
1854598317,"Wright, Nicholas",Nick Hern Books,822.914,PR6073.R529 H57 2004,His dark materials,231,London,0,87.6,2004
038071812X,Sylvia Cassedy,HarperTrophy,nan,nan,Lucie Babbidge's House,160,nan,0,402.0,1993
155728024X,Billy Collins,University of Arkansas Press,811/.54,PS3553.O47478 A8 1988,The apple that astonished Paris,61,Fayetteville,0,84.5,1988
044084567X,nan,Trumpet,nan,nan,Scary Stories 3 More Tales to Chill Your Bones,115,nan,0,0,1991
4766113381,Kazuko Tadano,Graphic-Sha,nan,nan,How To Draw Manga Volume 15,132,nan,0,0,2003
142150295X,Masakazu Katsura,VIZ Media LLC,nan,nan,Video Girl Ai,208,nan,0,87.0,2006
1400078008,Barbara Ehrenreich,Anchor Books,nan,nan,For her own good,410,New York,17.5,37.5,2005
140006466X,Lisa See,Random House,nan,PS,Peony in love,284,"New York, NY",6.0,15.818181818181818,2007
1590170199,Peter Handke,New York Review Books,833/.914,PT2668.A5 W813 2002,A sorrow beyond dreams,76,New York,0,37.8,2002
1590170385,D. B. Wyndham Lewis,New York Review Books,821.008,PR1175 .S784 2003,The stuffed owl,264,New York,0,1.0,2003
039306011X,Patrick O'Brian,W.W. Norton,823/.914,PR6029.B55 A6 2004,The complete Aubrey/Maturin novels,nan,New York,25.0,12.142857142857142,2004
039306025X,Patrick O'Brian,W.W. Norton,nan,nan,21,140,New York,0,34.916666666666664,2004
039332107X,Patrick O'Brian,W. W. Norton & Company,nan,nan,Blue At The Mizzen,nan,nan,0,28.333333333333332,2000
155783041X,Charles McKeown,Applause Theatre Book Publishers,791.4372,PN1997 .A3114 1989,"The adventures of Baron Munchausen, the screenplay",174,New York,0,134.0,1989
1560252758,Herbert Asbury,Thunder's Mouth Press,364.1/06/097471,HV6439.U7 N4 2001,The gangs of New York,366,New York,39.0,69.0,1998
1560255218,Herbert Asbury,Thunder's Mouth Press,nan,nan,All around the town,244,New York,38.0,126.0,2003
1402714602,Mark Twain,Sterling Pub.,[Fic],PZ7.C584 Ad 2004,The adventures of Tom Sawyer,224,New York,4.888888888888889,2.739130434782609,2004
073854678X,Annalee Allen,Arcadia Publishing,nan,nan,Selections from the Oakland Tribune  Archives  (CA),128,nan,0,0,2006
1843910179,Charles Baudelaire,Hesperus,841.8,nan,On wine and hashish,88,London,0,0.2857142857142857,2002
2038717001,Voltaire,Larousse-Bordas,nan,nan,"Candide ou, L'optimisme",240,Paris,18.5,0.625,1998
1897784317,Nigel Tranter,Neil Wilson,941.106092,nan,Rob Roy MacGregor,192,Glasgow,0,0,1995
1581821298,Sir Walter Scott,Cumberland House,941.1,DA761 .S55 2001,Tales of a Scottish grandfather,nan,"Nashville, Tenn",4.0,85.0,2001
159017125X,Ingri Parin d'Aulaire,New York Review Books,293/.13,BL860 .D355 2005,D'Aulaires' Book of Norse myths,nan,New York,0,27.833333333333332,2005
1564147916,Galina Krasskova,New Page Books,nan,nan,Exploring The Northern Tradition,220,nan,0,0,2005
1400047862,Rosalind Miles,Three Rivers Press,823/.914,PR6063.I319 I86 2003,"Isolde, queen of the Western Isle",359,New York,4.0,2.6,2003
1573442216,Tristan Taormino,Cleis Press,613.9/6,HQ46 .T24 2006,The ultimate guide to anal sex for women,nan,San Francisco,0,93.66666666666667,2006
006064589X,Sue Monk Kidd,HarperSanFrancisco,nan,nan,The dance of the dissident daughter,238,"[San Francisco, Calif.]",35.0,0.4444444444444444,2002
014023828X,T. Coraghessan Boyle,Penguin,nan,nan,The tortilla curtain,355,New York,28.666666666666668,10.125,1996
014027166X,T. Coraghessan Boyle,Penguin Books,nan,PS3552.O932 R58 1999,Riven rock,466,"New York, N.Y",0,2.1666666666666665,1999
2246442613,T. Coraghessan Boyle,Grasset,nan,nan,"L'Orient, c'est l'Orient",370,nan,0,0,1993
1595140328,Scott Westerfeld    ,Razorbill,nan,nan,So yesterday,225,New York,38.0,13.0,2004
1568581491,Scott Westerfeld    ,Four Walls Eight Windows,813/.54,PS3573.E854 E86 1999,Evolution's darling,290,New York,0,0,1999
080508052X,Lloyd Alexander,Henry Holt and Co. BYR Paperbacks,nan,nan,The High King (The Chronicles of Prydain),253,nan,0,4.222222222222222,2006
080508049X,Lloyd Alexander,Henry Holt and Co. BYR Paperbacks,nan,nan,The Black Cauldron (The Chronicles of Prydain),208,nan,0,7.375,2006
2742731105,Don DeLillo,Actes Sud,nan,nan,Libra,656,nan,0.0,9.88888888888889,2001
849759388X,Isabel Allende,European Schoolbooks,nan,nan,Paula,432,nan,0,62.45454545454545,2004
006078721X,Isabel Allende,HarperLargePrint,nan,nan,Zorro,677,New York,25.5,20.307692307692307,2005
038560310X,nan,Doubleday,nan,nan,House of Leaves,736,nan,0,0,2000
8440688350,Bill Watterson,Ediciones B,nan,nan,Matando El Tiempo,nan,nan,0,0,1999
000712774X,Ray Bradbury,Voyager,nan,nan,The Illustrated Man (Voyager Classics),240,nan,0,18.0,2002
345501173X,Douglas Coupland,Hoffmann und Campe,C813/.54,nan,Microsklaven =,461,Hamburg,9.75,52.0,1996
1903809509,John Barth,Atlantic Books,nan,nan,The Sot-weed Factor,768,nan,2.0,92.42857142857143,2002
1564780619,John Barth,Dalkey Archive Press,813/.54,PS3552.A75 L4 1994,Letters,772,"Normal, IL",0,140.5,1994
207074633X,Harry Crews,Gallimard,nan,nan,Car,206,nan,0,0,1996
3518380710,Hermann Hesse,Suhrkamp Verlag,nan,nan,Knulp,137,Frankfurt am Main,4.0,0.0,1988
2253000043,Hermann Hesse,Livre de Poche,nan,nan,Narcisse Et Goldmund,250,nan,0,0,1998
3458018220,nan,Insel Taschenbuch,nan,nan,Hermann Hesse Piktors Verwandlungen,96,nan,0,0,1975
3518367064,Hermann Hesse,Suhrkamp,nan,nan,Demian,nan,Frankfurt am Main,4.0,40.857142857142854,1974
1597379514,Anne McCaffrey,Brilliance Audio on CD Unabridged,nan,nan,Dragonflight (Dragonriders of Pern),nan,nan,0,167.0,2005
3423078596,William Sleator,Deutscher Taschenbuch Verlag GmbH & Co.,nan,nan,Das Haus Der Treppen,nan,nan,0,0,1999
1567923224,Russell Hoban,David R Godine,nan,nan,How Tom Beat Captain Najork and His Hired Sportsmen,32,nan,0,134.0,2006
8496333604,John Kennedy Toole,Quinteto,nan,nan,La Conjura De Los Necios/a Confederacy of Dunces,464,nan,1.0,0.9090909090909091,2006
1401308201,David Cote,Hyperion,nan,nan,Wicked,191,"New York, NY",0,42.75,2005
006088262X,Victoria Alexander,Avon,nan,nan,A Little Bit Wicked,384,nan,0,17.5,2007
201321894X,Roald Dahl,Hachette,nan,nan,"Danny, Champion Du Monde",281,nan,0,0,2001
1596060247,Connie Willis,Subterranean Press,Fic,PS3573.I45652 I57 2005,Inside job,99,"Burton, MI",0,73.5,2005
1590170164,Girolamo Cardano,New York Review Books,509.2,Q143.C3 A313 2002,The book of my life =,291,New York,6.0,3.5,2002
190492011X,Darina Allen,Kyle Books,nan,nan,Irish Traditional Cooking,288,nan,7.0,41.75,2005
8466619453,nan,Ediciones B,nan,nan,El rey de Les Halles,445,Barcelona,0,0,2004
043930931X,James Preller,Scholastic,nan,CPB Box no. 1918 vol. 7,The case of the buried treasure,106,New York,0,54.54545454545455,2002
2879290937,Jay McInerney,Signet,nan,nan,"Bright lights, big city",181,nan,39.5,112.8,1997
1563892251,Neil Gaiman,D.C.Comics,nan,nan,The  Sandman,nan,New York,35.0,38.857142857142854,1995
156389226X,Neil Gaiman,DC Comics,741.597,nan,The Sandman,111,New York,35.0,38.857142857142854,1995
1563890356,Neil Gaiman,DC Comics,nan,nan,The sandman,nan,"[New York, NY",35.0,38.857142857142854,1992
1563890933,Neil Gaiman,DC Comics,741.5942,nan,The  Sandman,nan,New York,35.0,38.857142857142854,1993
1563892871,Neil Gaiman,DC Comics,nan,PN6728.S26 G35 1992,The  Sandman,nan,New York,35.0,38.857142857142854,1991
1563891069,Neil Gaiman,DC Comics,nan,nan,The  Sandman,nan,New York,35.0,38.857142857142854,1993
1410402363,Sandra Balzo,Five Star Trade,nan,nan,Uncommon Grounds,245,nan,0,0,2005
