ISBN,Author,Publisher,Dewey,LC,Title,Number of Pages,Publish Place,Subject Place,Subject,Publish Date
843392463X,Ricardo Piglia,Editorial Anagrama,nan,nan,"Formas Breves (Narrativas Hispanicas, 293)",142,nan,0,0,2001
8433968777,Ricardo Piglia,Editorial Anagrama,nan,PN3324 .P54 2005,El último lector,190,Barcelona,0,0.0,2005
1862076650,Ricardo Piglia,Granta Books,nan,nan,Money to burn,256,London,0.0,0.6666666666666666,2003
8433924710,Ricardo Piglia,Editorial Anagrama,nan,nan,Respiración artificial,218,Barcelona,2.0,17.0,2001
8433924621,Ricardo Piglia,Editorial Anagrama,nan,nan,Plata quemada,227,nan,0,0,2000
8432216429,Ernesto Sabato,Planeta,nan,nan,El Tunel / The Tunnel,nan,nan,0,0.4,2003
9500716054,Ernesto Sabato,Sudamericana,nan,nan,Sobre Heroes y Tumbas - Sin Sobrecubierta,nan,nan,0,0.0,1999
1565480848,Augustine of Hippo,New City Press,nan,nan,"The Confessions: Saint Augustine (Works of Saint Augustine, a Translation for the 21st Century: Part 1- Books)",416,nan,0,0,2002
1565481240,Augustine of Hippo,New City Press,230/.14,BR65.A73 E5 1999,The Augustine catechism,144,"Hyde Park, N.Y",0,55.666666666666664,1999
1565482018,Augustine of Hippo,New City Press,nan,nan,On Genesis,540,nan,0,0,2004
8466308954,Anthony Bourdain,Santillana USA Publishing Company,nan,nan,Confesiones de un chef = Kitchen Confidential,478,nan,0,0,2002
014044789X,Ovid,Penguin,nan,PA6522.M2 R33 2004,Metamorphoses,723,London,0.3333333333333333,10.433333333333334,2004
069101597X,Charles Segal,Princeton University Press,nan,nan,Dionysiac poetics and Euripides' Bacchae,420,"Princeton, N.J",0,0.0,1997
1857150600,Homer,Everyman's Library,nan,nan,The Iliad (Everyman's Library Classics),594,nan,0.6666666666666666,0.37037037037037035,1992
1585424838,Daniel Pinchbeck,Jeremy P. Tacher/Penguin,191,BP605.N48 P56 2006,2012,nan,New York,0,0.0,2006
848306667X,Jared Diamond,Debate Editorial,nan,nan,"Armas, germenes y acero/ Guns, Germs and Steel",588,nan,0,0,2006
044657967X,Nelson DeMille,Warner Books,nan,PS3554.E472 W55 2006,Wild fire,519,New York,0,13.125,2006
037582538X,Judy Sierra,Knopf,[E],PZ8.3.S577 Wi 2004,Wild about books,nan,New York,0,0.25,2004
1591583667,Charles P. Rubenstein,Libraries Unlimited,006.7,Z674.75.W67 R83 2007,Crash course in Web design for libraries,196,"Westport, Conn",0,33.4,2007
014025157X,Sue Birtwistle,Penguin Books,791.45/72,PN1992.77.P65 B57 1995,The making of Pride and prejudice,117,London,0,0.0,1995
1593083246,Jane Austen,Sterling Publications,nan,nan,Pride and Prejudice,432,nan,7.375,27.678571428571427,2004
1400032806,Jon Krakauer,Anchor,nan,nan,Under the Banner of Heaven,432,nan,0,0.0,2004
067978361X,Valerian Ivanovich Alʹbanov,Modern Library,nan,G700 1912 .A5 A4313 2000,In the land of white death,205,New York,1.0,12.285714285714286,2000
8427032226,Thomas L. Friedman,Planeta,nan,nan,La Tierra Es Plana / The World Is Flat,495,nan,0,0,2006
1402714580,Louisa May Alcott,Sterling Pub.,[Fic],PZ7.A335 Li 2004,Little women,525,New York,15.5,13.571428571428571,2004
1931082731,Louisa May Alcott,Library of America,813/.4,PS1016 2005,Little women ; little men ; Jo's boys,1092,New York,2.0,36.04347826086956,2005
1904633277,Louisa May Alcott,Collector's Library,nan,nan,Little Women,326,nan,0,0,2004
1593081383,Charles Dickens,Barnes & Noble Classics,nan,nan,A Tale of Two Cities,448,"New York, USA",17.571428571428573,6.571428571428571,2004
158663352X,SparkNotes,Spark Publishing,nan,nan,A Tale of Two Cities,85,"New York, USA",24.0,4.578947368421052,2002
1593080557,Charles Dickens,Barnes & Noble Classics,823/.8,PR4571 .A1 2003,A tale of two cities,429,New York,17.571428571428573,6.571428571428571,2003
1857151437,Charles Dickens,Everyman's Library,nan,nan,A Tale of Two Cities (Everyman's Library Classics),432,nan,17.571428571428573,6.571428571428571,1993
079450390X,Lucinda Hawksley,Usborne Books,nan,nan,A Tale of Two Cities,160,"London, England",24.0,3.8,2004
067179227X,James B. Stewart,Simon & Schuster,nan,nan,Den of thieves,587,New York,35.0,3.0,1992
8483066483,Jared Diamond,Debate,nan,nan,Colapso,747,Barcelona,0,2.5428571428571427,2006
043932162X,J. K. Rowling,Arthur A. Levine Books,nan,nan,Harry Potter Schoolbooks Box Set: From the Library of Hogwarts,nan,nan,0,0.0,2001
1420926713,Aristophanes,Digireads.com,nan,nan,The Frogs,88,nan,0,38.23529411764706,2005
1573921335,Aristophanes,Prometheus Books,882/.01,PA3877 .E3 1997,Assembly of women =,124,"Amherst, N.Y",0.5,9.333333333333334,1997
1853991147,Paul Cartledge,Bristol Classical Press,nan,PA'3879'C37'1990,Aristophanes and his theatre of the absurd,82,Bristol,0,0.0,1990
1883011086,Raymond Chandler,Library of America,nan,nan,Later novels and other writings,1076,New York,28.666666666666668,49.2,1995
1883011078,Raymond Chandler,Library of America,813/.52,PS3505.H3224 A6 1995c,Later novels and other writings,1076,New York,28.666666666666668,49.2,1995
1421501562,Masaki Yamada,VIZ Media,895.6/35,PL865.A497 I66 2004,Ghost in the shell 2,196,"San Francisco, Calif",0,0.5,2004
056352474X,Raymond Chandler,BBC Audiobooks,nan,nan,The Long Goodbye,nan,nan,28.666666666666668,29.476190476190474,2004
067003472X,Daniel C. Dennett,Viking,200,BL2775.3 .D46 2006,Breaking the spell,nan,New York,0,112.6,2006
068482471X,Daniel C. Dennett,Simon & Schuster,nan,nan,Darwin's Dangerous Idea,586,nan,0,0,1996
055380202X,Stephen W. Hawking,Bantam Books,nan,nan,The universe in a nutshell,216,New York,0,0.0,2001
039332446X,nan,W. W. Norton & Company,nan,nan,The Future of Spacetime,224,nan,0,0,2003
1400051576,Thom Hartmann,Three Rivers Press,304.2,GF41 .H39 2004,The last hours of ancient sunlight,378,New York,0,100.75,2004
073945529X,nan,"Little, Brown & Co.",nan,nan,"Blink, The Power of Thinking Without Thinking",nan,nan,0,0,2005
097212179X,Kim Wilson,Jones Books,823/.7,PR4036 .W56 2004,Tea with Jane Austen,108,"Madison, Wis",59.0,17.4,2004
684718057,Ernest Hemingway,Scribner,nan,nan,The old man and the sea.,127,New York,3.0,33.074074074074076,1965
1574671324,Thomas May,Amadeus Press,nan,nan,The John Adams Reader,455,nan,35.0,33.4,2006
076455302X,Ruth K. Westheimer,IDG Books Worldwide,306.7,HQ31 .W497 2001,Sex for dummies,402,"Foster City, CA",0,0.125,2001
1932073205,Dan Millman,HJ Kramer,nan,nan,Way of the Peaceful Warrior,240,nan,0,141.0,2006
140009691X,Truman Capote,Vintage International,nan,nan,The complete stories of Truman Capote,300,New York,0,1.0,2005
067960085X,Truman Capote,Modern Library,813/.54,PS3505.A59 A6 1994,Breakfast at Tiffany's,161,New York,38.0,58.0,1994
073933364X,Truman Capote,RH Audio,nan,nan,In Cold Blood,nan,nan,0.5,76.53846153846153,2006
1883011949,Edith Wharton,Library of America,813/.52,PS3545.H16 A6 2001b,"Collected stories, 1911-1937",848,New York,38.0,93.75,2001
1597770078,Douglas Adams,Phoenix Audio,nan,nan,Dirk Gently,nan,nan,0,0,2005
067002922X,Bryce Courtenay,Viking Books,nan,nan,Whitethorn,1,nan,0,28.5,2005
8466305130,Jeffery Deaver,"Suma de letras, Punto de Lectura",nan,nan,El coleccionista de huesos (The Bone Collector),640,nan,0,402.0,2001
9626343583,Herman Melville,Naxos Audiobooks,nan,nan,Moby Dick,nan,nan,12.5,3.46875,2006
1593080182,Herman Melville,Barnes & Noble Classics,nan,nan,Moby-Dick (Barnes & Noble Classics Series) (Barnes & Noble Classics),752,nan,12.5,3.46875,2003
019274156X,Geraldine McCaughrean,Oxford University Press,[Fic],PZ7.M1286 Mo 1996,"Moby Dick, or, The white whale",103,Oxford,0,0.0,1996
1854583522,Susan Griffith,Vacation-Work,nan,nan,Teaching English Abroad,574,nan,0.0,45.0,2006
157174102X,Joseph McMoneagle,Hampton Roads Publishing Company,nan,nan,The Ultimate Time Machine,256,nan,0,0.5,1998
1842124021,H. G. Wells,"Phoenix Press, WC2",nan,nan,Complete Short Stories of H. G. Wells,864,nan,25.0,36.8,2001
1400083117,Timothy B. Tyson,Three Rivers Press,nan,nan,Blood Done Sign My Name,368,nan,4.333333333333333,25.75,2005
1860465021,José Saramago,Harvill Pr,nan,nan,Year of the Death of Ricardo Reis,384,nan,0,0,1998
8466312803,nan,Punto de Lectura,nan,nan,El Hombre Duplicado/the Double (Punto de Lectura),448,nan,0,0,2004
8466314741,nan,Punto de Lectura,nan,nan,Ensayo Sobre la Lucidez / Awakening,464,nan,0,0,2005
846630679X,José Saramago,Punto de Lectura,nan,nan,La caverna = A caverna,441,nan,0,0,2002
9587043642,José Saramago,Alfaguara,nan,nan,Las intermitencias de la muerte,280,nan,0,3.0,2005
089009389X,Kahlil Gibran,Castle,nan,nan,The treasured writings of Kahlil Gibran.,902,"[Secaucus, N.J.]",0,100.75,1985
000100039X,Kahlil Gibran,Laurier Books Ltd. /AES,nan,nan,The Prophet,133,nan,0,51.9,2003
382960226X,Willem De Kooning,Schirmer/Mosel,nan,ND237.D334 A4 2006,Willem de Kooning,83,[Munich],35.0,50.375,2006
1416500391,Jonathan Swift,Pocket,nan,nan,Gulliver's Travels and A Modest Proposal,416,nan,0,0.0,2005
1556434952,Régis Debray,North Atlantic Books,843/.914,E895 .D43 2004,Empire 2.0,135,"Berkeley, Calif",19.5,0.5,2004
1931082308,Henry James Jr.,Library of America,813/.4,PS2112 2003,"Novels, 1896-1899",1035,New York,0,11.727272727272727,2003
193108288X,Henry James Jr.,Library of America,813/.4,PS2112 2006,"Novels, 1901-1902",nan,New York,0,11.727272727272727,2006
1883011094,Henry James Jr.,Library of America,nan,nan,"Complete stories, 1892-1898",948,New York,19.5,33.42857142857143,1996
