Murder for hire,3
Executives,3
Cold War,3
Hotelkeepers,3
Art restorers,3
End of the world,3
Foreign relations,3
Church and state,3
Escaped prisoners,3
Criminal defense lawyers,3
Humorous,3
Police Procedural,3
FICTION / Jewish,3
Coming of Age,3
World War (1939-1945) fast (OCoLC)fst01180924,3
Emotions,3
nyt:mass_market_paperback=2011-08-13,2
Relationship Novel,2
Bereavement,2
Short Stories,2
Women college students,2
Corporations,2
James Bond (Fictitious character),2
Social conditions,2
East and West,2
Colorado in fiction,2
Cruise ships,2
"World War, 1939-1945 in fiction",2
Mother-daughter relationship,2
Dominican Americans,2
award:national_book_critics_circle_award=fiction,2
National Book Critics Circle Award Winner,2
Bank robberies,2
Trenton (N.J.),2
Bail bond agents,2
Legislators,2
Divorced parents,2
Bioterrorism,2
Upper class women,2
Parties,2
Granddaughters,2
Emma Ransom (Fictitious character),2
Jonathan Ransom (Fictitious character),2
Fiction / Literary,2
Drowning victims,2
Darth Vader (Fictitious character),2
Daughters,2
Abused wives,2
Gods,2
Qaida (Organization),2
Translations into German,2
Suicide,2
Hospitals,2
Rina Lazarus (Fictitious character),2
Peter Decker (Fictitious character),2
Mormons,2
Blake Johnson (Fictitious character),2
Jockeys,2
Women serial murderers,2
Monasteries,2
Science Fiction & Fantasy,2
Disasters,2
Boston (Mass.),2
Judges,2
rape,2
secrecy,2
journalists,2
sex,2
revenge,2
crime fiction,2
Antisemitism,2
Young men,2
Stone Barrington (Fictional character),2
Fraud,2
Cedar Cove (Wash. : Imaginary place),2
Pregnant women,2
Dwarfs,2
"War on Terrorism, 2001-2009",2
Cookery,2
Valdemar,2
Collegium Chronicles,2
Oz (Imaginary place),2
Mate selection,2
Code and cipher stories,2
Alex Delaware (Fictional character),2
Milo Sturgis (Fictional character),2
Hurricanes,2
Sex scandals,2
Teenage girls in fiction,2
Camel Club (Imaginary organization),2
Oliver Stone (Fictitious character),2
Grandparents,2
horror tales,2
serial murderers,2
Alzheimer's disease,2
insanity,2
Horror fiction,2
short stories,2
Racism,2
Peace officers,2
Global warming,2
Heart,2
Transplantation,2
Stalkers,2
Fathers,2
Housewives,2
Presidents,2
English fiction,2
Great Britain in fiction,2
Actors,2
Automobile mechanics,2
Italian American families,2
Italian American women,2
Women runners,2
Asperger's syndrome,2
Physician and patient,2
Space warfare in fiction,2
Marine biologists in fiction,2
domestic fiction,2
mothers,2
Housekeepers,2
Private investigators in fiction,2
Missing persons in fiction,2
Psychologists in fiction,2
Traffic accident investigation,2
William Monk (Fictitious character),2
Gangs,2
Rick Bentz (Fictitious character),2
Reuben Montoya (Fictitious character),2
Genealogy,2
Harry Dresden (Fictitious character),2
Wizards in fiction,2
Goldy Bear (Fictitious character),2
Women journalists in fiction,2
Depressions,2
Young women in fiction,2
Women teachers,2
Sean King (Fictitious character),2
Michelle Maxwell (Fictitious character),2
Women botanists,2
Women archaeologists,2
Sherlock Holmes (Fictitious character),2
Mary Russell (Fictitious character),2
Frontier and pioneer life,2
Western,2
kidnapping,2
Ranch life,2
Curiosities and wonders,2
Belief and doubt,2
Texas in fiction,2
Vampires in fiction,2
Research,2
Medicine,2
Irish Americans,2
Women photographers,2
Betsy Taylor (Fictitious character),2
Mothers and daughters in fiction,2
Novelists,2
Kathryn Dance (Fictitious character),2
Ladies-in-waiting,2
Dwellings,2
Mass murder investigation,2
Ghosts,2
detectives,2
Matt Payne (Fictitious character),2
Dragons,2
Trials (Homicide),2
Horse racing,2
Immortalism,2
nyt:mass_market_paperback=2010-08-29,2
Recluses,2
