date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2009-05-17,1416562850,0316017922,1592404456,1401303382,0446546933,1605297852,141659910X,0767928822,0446540943,0385528264,1416954120,0385527403,0385513534,1400063256,0767932307,1416580557,1400067731,0451226380,0446407410,0061730416
2009-05-24,1416562850,1401303382,076793136X,0316017922,1592404456,0446540943,1605297852,0451226801,0061791644,0446546933,0767928822,141659910X,0307353753,1416954120,0061766143,0385527934,1594202168,1416580514,0385528264,0385527403
2009-05-31,076793136X,1416562850,1401303382,0316017922,1592404456,1605297852,0446540943,0446546933,0767928822,1416580514,0061791644,1591842735,0451226801,0307353753,1416954120,141659857X,0061778141,0385528264,0385527403,0385513534
2009-06-07,1416562850,0316017922,076793136X,1592404456,1401303382,1602860866,0446540943,1605297852,1416580514,0061778141,0767928822,0446546933,1439149380,1416954120,0307266303,0977326411,0451226801,1591842735,0385528264,0385527403
2009-06-14,1416562850,0316017922,1416580514,076793136X,1592404456,1602860866,1401303382,0446540943,0977326411,1605297852,0767928822,1416954120,0446546933,0061778141,0465018807,0307266303,0451226801,0385528264,0316070084,0385527403
2009-06-21,1416562850,0316017922,1416580514,0307463125,0767928822,1592404456,1401303382,076793136X,039306901X,1602860866,0465018807,0977326411,1416954120,1605297852,0446540943,0307266303,1594202230,141659910X,0385527403,0385528264
2009-06-28,1416562850,1416580514,0316017922,0307463125,1416599142,0767928822,0307463699,039306901X,1401303382,1592404456,0446509337,0977326411,076793136X,1602860866,1400066514,1401322557,0446540943,1605297852,0307266303,0061766720
2009-07-05,1416562850,1416580514,0316017922,0767928822,0307463125,039306901X,0307463699,0316049107,0385527403,0061766720,1416599142,1605297852,1400066514,1401303382,0307266303,0374272603,0977326411,0061766143,0385528264,1416954120
2009-07-12,006177104X,1416562850,0316017922,1416580514,1605297852,0767928822,0307463125,0307463451,0374272603,0470474238,1416599142,1592404456,0061766720,0307266303,1594202230,0316049107,1416954120,1400066514,0977326411,1401303382
2009-07-19,006177104X,1416562850,0316017922,1416580514,1605297852,0307463125,1592404456,0316734918,1416954120,0061766720,0767928822,0470474238,1594202230,0307266303,1416599142,1401322557,0977326411,141659910X,1400066514,1401303382
2009-07-26,0316017922,1416562850,006177104X,1416580514,1605297852,1592404456,1416954120,0374272603,141659910X,1414334060,0977326411,1401322905,0767928822,0061766720,0307463125,1416599142,0385522312,0316734918,1400066514,1401322557
2009-08-02,1439177171,0316017922,1416562850,006177104X,0385529376,1416580514,1605297852,1416556249,030740787X,141659910X,0374272603,1592404456,0307266303,0307463451,0316734918,0670021032,1416954120,0767928822,0977326411,076793136X
2009-08-09,0316017922,1416562850,1439177171,006177104X,1416556249,0385529376,0307588335,0316734918,0307463451,141659910X,1416580514,1605297852,0670021032,1416954120,0307266303,0767928822,1592404456,0446564745,1596916508,0374272603
2009-08-16,1596981091,1416562850,0316017922,006177104X,1439177171,1605297852,0060565284,0385529376,0307588335,0767928822,0446564745,1416556249,141659910X,1416580514,0307266303,1416954120,0977326411,0375422226,0316734918,0757313728
2009-08-23,1596981091,0316017922,0307461351,006177104X,1416562850,0385527721,0767928822,1605297852,0060565284,0446564745,0307459683,1439177171,1416556249,0385529376,0307588335,0670021113,0307266303,141659910X,1603201300,0977326411
2009-08-30,1596981091,0316017922,1416562850,0307461351,006177104X,0060565284,0767928822,0670021113,0061960586,0307459683,0446564745,0307266303,1934781630,0385529376,1416556249,0307588335,1439177171,1605297852,0977326411,1416954120
2009-09-06,1596981091,0307461351,0316017922,0307266303,1416562850,1934781630,006177104X,0767928822,0060565284,0385527721,0061691399,0316734918,0307459683,1605297852,0061960586,0977326411,0307588335,1416556249,1416954120,0767922468
2009-09-13,1596981091,0316017922,0307461351,0307266303,0767928822,1594202346,1401323529,006177104X,1416562850,1934781630,0446580821,1400066212,0316734918,038534385X,1594202311,0060565284,1439138176,1605297852,0977326411,1416556249
2009-09-20,1596981091,0316017922,0307461351,1400066212,0307266303,0767928822,1416562850,006177104X,1594202346,0446504122,1934781630,1439138176,1401323529,038534385X,0446580821,0446579483,0316734918,1416954120,0977326411,1416556249
2009-09-27,0345518519,1596981091,0316017922,0307461351,1416562850,1400066212,0307266303,0767928822,0307267148,0670021202,1594202346,0446504122,159420232X,1400066328,1568583982,1401323529,006177104X,1594630666,1594202230,1934781630
2009-10-04,0446539252,0385522266,0345518519,0316017922,1596981091,0446568180,1416562850,0307461351,159420232X,0767928822,1594202346,0307266303,0446504122,1400066212,0670021202,1416583408,0061582565,0307267148,1400066328,1594630666
2009-10-11,1416595015,0446539252,143915385X,0061719544,1416594787,0385522266,0345518519,0316017922,1596981091,0307269183,1416562850,0307461351,0767928822,0307266303,0446568180,1594202346,0446504122,1401322816,0307267148,0307268969
2009-10-18,0786868724,1416595015,0446539252,1439158584,0316034045,143915385X,0385522266,1416594787,0316017922,0345518519,0061719544,0446568180,0307267148,1596981091,0307268969,0307269183,1416562850,1416543333,1439154503,1593156022
2009-10-25,0786868724,1416595015,0446539252,0385522266,0316034045,1439158584,0316017922,1416594787,0307268969,0307267148,143915385X,0345518519,0061719544,0307269183,0060899182,0446568180,1596981091,0061730327,0767928822,0307266303
2009-11-01,0786868724,1416595015,0061924687,0446539252,0307716988,0316017922,1416594787,0385522266,0316034045,1439158584,1439154775,143915385X,0345518519,0307268969,0307267148,0374180652,0307266303,0374165734,0307269183,0767928822
2009-11-08,0786868724,0060889578,0316075841,0670021253,1416595015,0061924687,0446539252,0316017922,1416594787,0385522266,0316034045,1416544208,0446546267,0316059544,0618968415,0805087494,0307266303,0307268969,0767928822,0307263436
2009-11-15,034551176X,0060889578,0786868724,0316075841,1416595015,0670021253,0316017922,0446539252,0061924687,1416544208,0618968415,0312588895,0385522266,0312341911,1400043042,0307266303,1416594787,073821356X,0316034045,0316059544
2009-11-22,0786868724,0060889578,0316075841,1416595015,034551176X,0670021334,0316017922,0061697168,0670021253,0547225474,1439158584,0446539252,1416583408,0316069906,0061864153,0385522266,1596980990,1595230629,0307266303,0312341911
2009-11-29,0307268195,0786868724,1595230629,0060889578,0316075841,1416595015,1439172951,034551176X,0670021253,0316017922,0547225474,0446539252,0670021334,0316069906,0385522266,0061697168,0307266303,0767928822,0061924687,1565129598
2009-12-06,0061939897,0307268195,0786868724,1416595015,1595230629,0316075841,0060889578,1439172951,0316017922,0670021253,0446539252,034551176X,0547225474,0767928822,1565129598,0670021334,0307268969,0385522266,0307266303,0316069906
2009-12-13,0061939897,0786868724,0307268195,0060889578,1416595015,0446539252,1595230629,0316075841,0316008958,0316017922,1439172951,0670021253,0547225474,034551176X,0307268969,0060574887,0767928822,0393065677,0307266303,0385522266
2009-12-20,0061939897,0670021156,0786868724,0307268195,0446539252,1416595015,0060889578,0316075841,0307267148,0316017922,1595230629,0547225474,0316008958,034551176X,0307268969,1426205031,0670021253,0767928822,1439173141,1439172951
2009-12-27,0061939897,0670021156,0786868724,1416595015,0307268195,0446539252,0060889578,0316075841,0307268969,0307267148,0547225474,0316017922,0767928822,1595230629,0316008958,034551176X,0670021253,044654146X,1439172951,0385522266
2010-01-03,0061939897,0786868724,1416595015,0670021156,0307268195,0060889578,0446539252,0316075841,0767928822,0316017922,0547225474,0316008958,0307267148,034551176X,0307268969,1595230629,0670021253,1439172951,1416562850,0385522266
2010-01-10,0061939897,0786868724,1416595015,0446539252,0307268195,0060889578,0316075841,0670021156,0316017922,0316008958,0767928822,0547225474,034551176X,1439172951,0670021253,0385522266,1595230629,1416562850,0307266303,0307267148
2010-01-17,0786868724,0061939897,0316075841,0060889578,0670021156,0307268195,0446539252,0316017922,1416595015,0670021253,0316008958,034551176X,0307267148,0307266303,1439172951,1594488843,0385522266,0316069906,0547225474,0060596988
2010-01-24,0670021652,0786868724,0805091742,0061939897,0670021156,0316017922,0060889578,0316075841,1594488843,0307268195,0670021644,1416595015,0670021253,1602861110,0446539252,0307267148,0307266303,0316008958,0767928822,0345453212
2010-01-31,0061733636,0670021652,0786868724,0061939897,0670021156,0316017922,0805091742,0060889578,1594488843,0316075841,0307268195,0670021253,0670021644,1602861110,0307266303,0307267148,1416595015,0446539252,0767928822,0743246586
2010-02-07,0061733636,0670021652,0670021156,0786868724,0061939897,0316017922,006621131X,0805091742,0060889578,0316075841,1594488843,0307268195,046501948X,0061452556,0670021253,0393075966,1400068606,0307266303,0670021644,0307267148
2010-02-14,0061733636,0446569895,031264065X,0670021652,0786868724,0316017922,0670021156,006621131X,1596986034,0805091742,0061939897,0060889578,0316075841,1594488843,0307268195,0670021253,0307266303,0393075966,0061452556,046501948X
2010-02-21,0061733636,031264065X,0446561932,0446569895,1400052173,0670021652,0786868724,0345522397,0316017922,006621131X,0670021156,1401323235,1594488843,0805091742,0316075841,0060889578,0061939897,0670021253,0307268195,0307453375
2010-02-28,0061733636,031264065X,0345522397,0446569895,0446561932,1400052173,0670021156,1416547908,0670021652,0786868724,0061939897,0316017922,1401323235,006621131X,0805091742,1594488843,0670021253,0525951512,0307266303,0307268195
2010-03-07,0061733636,031264065X,1400052173,0446569895,1416547908,0446561932,0786868724,0670021156,0345522397,0670021652,0316017922,1594488843,0805091742,1401323235,0307453375,006621131X,0060889578,0307266303,0061939897,0307463575
2010-03-14,0061733636,1400052173,0446569895,031264065X,0786868724,0805091742,0316017922,1416547908,0670021652,0670021156,1401323235,0446561932,1594488843,006182593X,0345522397,0307463575,0307266303,0316075841,0060889578,0307453375
2010-03-21,0312609809,1401341241,0061733636,0061993999,1400052173,0470553731,045123023X,1416547908,031264065X,0316017922,1414333072,0446569895,0805091742,1401323235,0670021156,0786868724,0307463575,1594488843,0670021652,0060889578
2010-03-28,0446552445,1439191050,0307463575,0312609809,045123023X,160239802X,0061733636,0061993999,1400052173,1414333072,0670021156,0316017922,0470553731,0786868724,0316069906,1595552669,0767929829,031264065X,0446569895,1416547908
2010-04-04,0393072231,0446552445,1439191050,045123023X,0307463575,0061733636,160239802X,1400052173,0786868724,0312609809,1414333072,0316017922,1595552669,1594488843,1401323715,0767929829,0061993999,031264065X,0470553731,0061930938
2010-04-11,0393072231,0446552445,045123023X,0307463575,1439191050,160239802X,0061733636,1400052173,0312609809,0786868724,1401323715,0316017922,1595552669,0470540869,0670021156,0465014917,1594488843,0307266303,1414333072,0670021652
2010-04-18,0393072231,0446552445,045123023X,1439191050,1591843456,0307463575,0312609809,0061733636,1400052173,160239802X,0307379051,0316017922,0786868724,1439172072,0061986836,1595552669,0470540869,0307266303,1414333072,0061930938
2010-04-25,0393072231,0446552445,1400043603,0307461181,045123023X,1439191050,0307463575,0061733636,0670021261,160239802X,0307379051,1400052173,1594202397,0316017922,0786868724,0805091742,0465014917,0399156658,1595552669,0767929829
2010-05-02,0307394867,0393072231,0446552445,0061988448,0307461181,045123023X,1400043603,1439191050,0446548154,0307463575,0310318963,160239802X,0061733636,1400052173,0307379051,0316017922,0786868724,0307266303,0312609809,0805091742
2010-05-09,0393072231,0307394867,0446552445,0307461181,0307379051,045123023X,1400043603,0061988448,0061856436,0307463575,1439191050,0316017922,1594202397,160239802X,1400052173,0061733636,0061962236,0786868724,0446548154,0307266303
2010-05-16,0393072231,0307461181,0446552445,0307394867,0385528191,0385523920,0061856436,0316017922,045123023X,1401341241,1400052173,0307379051,1400043603,1439191050,0307463575,0061988448,0446548154,0061733636,0307266303,0786868724
2010-05-23,1439155208,0393072231,0307461181,0446552445,1594202613,0307394867,0670021725,0061992704,045122986X,1401341241,045123023X,0061856436,1400052173,0316017922,0385528191,039915650X,0446548154,0786868724,1439191050,0446548502
2010-05-30,1439155208,0393072231,0446556246,0446552445,0670021725,0061992704,0061690317,0307461181,1594202508,045123023X,0316017922,0307394867,0307453278,1400052173,0385528191,0061856436,1594202613,1439191050,045122986X,1594488843
2010-06-06,1439155208,0446556246,0393072231,1439101191,1596985968,0446552445,0061992704,0670021725,0307453278,0307461181,0061690317,0316017922,045123023X,1594202508,0062000675,0307463575,1400052173,0307394867,1935071874,0307266303
2010-06-13,1439155208,1596985968,0393072231,0061992704,0446556246,0446552445,1439101191,0670021725,0316017922,1935071874,0061690317,1400052173,0743277023,0307453278,1594202508,045123023X,0307266303,1595230637,1439191050,0307461181
2010-06-20,0061992704,0446556246,1439155208,0393072231,0446552445,1596985968,0670021725,0316017922,1439101191,0307463575,0446540331,0061995037,1400052173,0307453278,0451230183,045123023X,0307266303,1594033773,1935071874,0061690317
2010-06-27,0061992704,0061718947,1439155208,0393072231,0446556246,0446552445,0307463575,0670021725,0446540331,0316017922,045123023X,1400052173,1439101191,1596985968,0307266303,1594488843,1439102112,0061690317,0307453278,0786868724
2010-07-04,0061992704,0061718947,0393072231,0670021725,1439155208,0446556246,0446552445,1439187711,045123023X,0307463575,0061690317,0316017922,0307453278,006156284X,0446540331,1596985968,0307266303,1439101191,0547225474,1400052173
2010-07-11,0061992704,0061718947,0393072231,0446552445,1439155208,1416591052,0446556246,0316017922,1439187711,0670021725,1400052173,0307463575,0307266303,006156284X,0446540331,045123023X,1439101191,1596985968,1595230645,1594488843
2010-07-18,0061992704,0061718947,0393072231,0446552445,1439155208,1416591052,0446556246,0451232615,0316017922,0670021725,1439187711,1400052173,0307463575,0307266303,0446540331,0061970689,006156284X,1594488843,1439101191,0786868724
2010-07-25,0061992704,0061718947,1414339437,1439180911,0393072231,0446552445,0446556246,1416591052,0451232615,0316017922,1439155208,0670021725,0061774154,1400052173,0307266303,0307463575,1439187711,0446540331,0743277023,0316054674
2010-08-01,1439197512,0061992704,0061718947,0393072231,0446556246,0446552445,1414339437,1416591052,1439180911,0805093389,0316017922,0451232615,0061690317,1439155208,0061774154,0670021725,1400052173,0307266303,0743277023,1439187711
2010-08-08,0061992704,1439197512,0393072231,0061718947,1439180911,1414339437,0446552445,1416591052,0316017922,1400052173,0805093389,0316051640,0446556246,0307266303,1439155208,0451232615,0061774154,1439187711,0061690317,0786868724
2010-08-15,0061992704,1439197512,0446552445,0393072231,0316017922,0061718947,1400052173,1414339437,1439180911,1416591052,0446556246,0316051640,0805093389,0307266303,0670021652,0061774154,1439155208,0451232615,1594488843,0061917117
2010-08-22,0061992704,1439197512,031255561X,0393072231,0446552445,0393068471,0316017922,1439180911,1416591052,0061718947,0446556246,1400052173,0061774154,1594202567,1414339437,0061714372,0670021652,0316051640,1439155208,0307266303
2010-08-29,0061992704,1439197512,0393072231,1416591052,0446552445,0316017922,031255561X,0393068471,1439180911,0670021652,1592401422,1414339437,0061718947,0316051640,1400052173,0446556246,0061714372,0307266303,1400067383,0670021962
2010-09-05,0061992704,0670021652,0316017922,1416591052,1439197512,0393072231,0446552445,0393068471,1400052173,031255561X,1439180911,1592401422,0307266303,0061718947,0061714372,1414339437,1400067383,0316051640,0446556246,0307408388
2010-09-12,1596986247,0061992704,0316017922,1400052173,1416591052,0393072231,1400067383,1439197512,0670021652,0446552445,0307266303,0393068471,1439180911,0374273189,0061718947,1414336063,1414339437,1594488843,1439155208,0307268934
2010-09-19,1596986247,0061992704,0307269833,0061845450,0316017922,1400052173,1400067383,1416591052,0393072231,0670021652,0446552445,1439197512,0307266303,0061718947,0393068471,0800719913,0865476810,1439195978,1414339437,1439155208
2010-09-26,0553805371,1596986247,0307269833,0061992704,0679444327,0316017922,0393072231,1416591052,0385529880,1400052173,0446552445,0670021652,0800719913,0061718947,0307266303,0805091416,1439197512,1400067383,1414339437,0446556246
2010-10-03,0553805371,0061950718,0061992704,1596986247,0307269833,0307718123,0767928849,0316017922,0307269914,0393072231,0679444327,1416591052,0670021652,0307719820,1400052173,0385529880,0446552445,0446563374,0307266303,0307268934
2010-10-10,044657922X,0553805371,0061950718,0061992704,0374280991,1594202656,1596986247,0767928849,0307269833,1592405509,0393072231,0316017922,0679444327,0307592812,0307269914,1400052173,1416591052,0670021652,1414339437,0307719820
2010-10-17,1439172498,044657922X,1416938745,1596986255,0553805371,0061950718,031260369X,0061992704,1594202656,1596986247,0374280991,0767928849,0307269833,140132391X,0679444327,0307592812,0061233781,1592405509,1400052173,0393072231
2010-10-24,1439172498,044657922X,0062010972,1596986255,1416938745,0767919386,0061950718,1594202664,1439171211,0553805371,0061992704,1401323847,0767928849,140132391X,0061233781,1596986247,1594202656,031260369X,0061956937,0307269833
2010-10-31,044657922X,0062010972,1439172498,0060883529,0767919386,0061950718,1416938745,1594202664,0307587878,0374128952,0553805371,1596986255,1439191158,0061992704,1401323847,1439171211,0374158355,1416544607,0525951865,0446546313
2010-11-07,044657922X,0520267192,0062010972,0060883529,0061950718,0767919386,0307587878,1416938745,1439172498,1594202664,0061992704,1596986255,0553805371,0679444327,143918948X,0446546313,1401323847,1439191158,140132391X,0446552445
2010-11-14,031603438X,1439187193,044657922X,0060883529,0520267192,0307587878,0061950718,0767919386,1416938745,0062010972,0679439072,1594202664,1439172498,0061992704,0553805371,1596986255,0446546313,1594487766,0307269620,143918948X
