ISBN,Author,Publisher,Publish Date
0316211176,"Little, Brown and Co.",2013,James Patterson
0345530888,Delacorte Press,2013,Danielle Steel
1439165319,Emily Bestler Books/Atria,2012,Paula Fox
0385344031,Delacorte Press,2012,C. Alan Bradley
0399158685,G. P. Putnam's Sons,2013,Dave Barry
0062015680,William Morrow,2013,Charles Todd
1451628684,Touchstone,2013,Judith A. Jance
0062248391,HarperCollins,2013,Woody Guthrie
0307273571,Blank Publisher,2013,Maeve Binchy
0345505735,Blank Publisher,2013,Jonathan Kellerman
0770437850,Hogarth,2013 February,Herman Koch
039915972X,Putnam Adult,2013,Alex Berenson
0312567472,"Chances, Inc.",2013,Jackie Collins
0307957233,Alfred A. Knopf,2013,Karen Russell
0345503821,Del Rey Books,2013,Peter V. Brett
0316097519,Blank Publisher,2013,James Patterson
0061990639,William Morrow & Company,2013,Deborah Crombie
0307959961,Alfred A. Knopf,2013,Roger Hobbs
0399158820,Putnam Adult,2013,J. D. Robb
1439102767,Atria,February 26th 2013,Jodi Picoult
0758280343,Kensington Publishing Corporation,2013,Joanne Fluke
0312550650,Minotaur Books,2013,Dana Stabenow
0441020011,Ace Books,2013,Patricia Briggs
0399161775,Putnam Adult,2013,Clive Cussler
1451647034,Howard Books,2013,Karen Kingsbury
0786963646,Wizards of the Coast,2013,R. A. Salvatore
1451638698,Baen Books,2013,David Weber
039915812X,Putnam Adult,2013,Randy Wayne White
0425252884,Berkley Publishing Group,2013,Laura Childs
0399160752,G.P. Putnam's Sons,2013,C. J. Box
0345523504,Del Rey Books,2013,Terry Brooks
0307959929,Alfred A. Knopf,2013,Edward Kelsey Moore
1455525588,Faithwords,2013,Mark Burnett
0525953485,Dutton,2013,Harlan Coben
0765323982,Tor Books,2013,Greg Bear
0062231707,Ecco,2013,Joyce Carol Oates
0312591837,Blank Publisher,2013,"Green, Jane"
0451239350,New American Library,2013,J. R. Ward
1400067685,Random House,2013,Elizabeth Strout
0062049607,Harper,2013,Jacqueline Winspear
0802121012,Atlantic Monthly Press,2013,Donna Leon
1250028655,Blank Publisher,2013,Therese Fowler
1455504769,Grand Central Pub.,2013,M. C. Beaton
1451645821,Atria Books,2013,William Kent Krueger
0345528816,Ballantine Books,2013,Debbie Macomber
0316176486,"Little, Brown and Company",2013,Kate Atkinson
1400043131,Alfred A. Knopf,2012,James Salter
006222543X,HarperCollins,2016,Kimberly McCreight
0062220756,William Morrow,2013,Mike Greenberg
0061655988,Blank Publisher,2013,Andrew Gross
1451668945,Simon & Schuster,2013,Mary Higgins Clark
1250010071,St. Martin's Press,2013,Lisa Scottoline
0399159878,Blank Publisher,2013,Stuart Woods
1594488398,Riverhead Books,2013,Meg Wolitzer
0812993144,Random House,2013,Elizabeth Berg
0345536665,Ballantine Books,2013,Anne Perry
0670026107,Viking Books,2013,Ann B. Ross
0399159894,"G. P. Putnam's Sons, a member of Penguin Group (USA) Inc.",2013,Nora Roberts
1250019982,Blank Publisher,2013,Iris Johansen
0399160795,A Marian Wood Book/Putnam,2013,Philip Kerr
1455521213,Blank Publisher,2013,David Baldacci
0385535309,Doubleday,2013,Edward Rutherfurd
0812993845,Blank Publisher,2013,Sophie Kinsella
0399159096,Putnam Adult,2013,Amanda Quick
0062105620,HarperCollins,2013,Isabel Allende
031621082X,"Little, Brown and Company",2013,James Patterson
125000098X,Blank Publisher,2013,Jeffrey Archer
0062200577,HarperCollins,2013,Joe Hill
0778314936,Mira Books,2013,Susan Wiggs
0345532740,Ballantine Books,2013,Lauren Graham
0307596907,Alfred A. Knopf,2013,Claire Messud
193700788X,Ace Books,2013,Charlaine Harris
0399159312,Blank Publisher,2013,John Sandford
1451628293,Simon & Schuster,2013,Richard J. Evans
0670014893,Viking Adult,2013,John le Carré
0399161570,Putnam Adult,2013,Ace Atkins
1476709157,Blank Publisher,2013,John T. Lescroart
0385537859,Doubleday,2013,Dan Brown
0385535988,Doubleday,2013,Walter Mosley
0061468436,Harper Voyager,2013,Raymond E. Feist
159463176X,Bloomsbury Publishing,2013,Khaled Hosseini
0345527380,Random House USA Inc,2013,Jeff Shaara
0544115899,Houghton Mifflin Harcourt,2013,J. R. R. Tolkien
0307595854,Blank Publisher,2013,Jo Nesbø
0553807730,Bantam,2013,Dean Ray Koontz
039916250X,G. P. Putnam's Sons,2013,Clive Cussler
0062120395,Blank Publisher,2013,Philipp Meyer
1439136637,Simon & Schuster,2013,Lauren Weisberger
1455517062,Grand Central Publishing,2013,Jeffery Deaver
1400069599,Blank Publisher,2013,Colum McCann
067002645X,Viking,2013,"Johnson, Craig"
1476706123,Scribner,2013,Jason Matthews
1594486409,Blank Publisher,2013,Anton DiSclafani
0307272591,Blank Publisher,2013,Carl Hiaasen
1451661509,Scribner,2013,Jeannette Walls
0345526546,Ballantine Books,2013,Steve Berry
0062255657,William Morrow,"June 18, 2013",Neil Gaiman
0345543041,Blank Publisher,2013,Janet Evanovich
0525952977,Dutton Books,2013,Tami Hoag
1250007038,Blank Publisher,2013,Barbara Delinsky
0316211222,Blank Publisher,2013,James Patterson
006178480X,William Morrow,2013,James Rollins
1400068312,Blank Publisher,2013,Curtis Sittenfeld
0758258585,Kensington,2013,Lisa Jackson
0425255700,The Berkley Publishing Group,2013,Laurell K. Hamilton
0345539478,Blank Publisher,2013,Karin Slaughter
1594746370,Quirk Books,july 2013,Ian Doescher
1476717095,Blank Publisher,2013,Brad Thor
0399157336,G. P. Putnam's Sons,2013,Catherine Coulter
0385534817,Blank Publisher,2013,Chris Bohjalian
0345511425,Lucas Books,2013,Troy Denning
0062073168,Blank Publisher,2013,Daniel Silva
0316206849,Mulholland Books,2013,Robert Galbraith
0385338309,Delacorte Press,March 2006,Danielle Steel
1250019990,Blank Publisher,2013,Iris Johansen
038553521X,Blank Publisher,2013,David Rakoff
1451626096,Blank Publisher,2013,Philippa Gregory
0525953876,Blank Publisher,2013,Linda A. Fairstein
0399159347,Putnam,2013,Liane Moriarty
1400069297,Random House,2013,Sarah Dunant
0316211079,Blank Publisher,2013,James Patterson
0525953019,Blank Publisher,2013,Julie Garwood
0399162577,Blank Publisher,2013,W. E. B. Griffin
0786963719,Blank Publisher,2013,R. A. Salvatore
034552893X,Ballantine Books,2013,Debbie Macomber
0345535820,Ballantine Books,2013,Karen Robards
140006788X,Random House,2013,Marisha Pessl
1620401398,Blank Publisher,2013,Samantha Shannon
1451645759,Blank Publisher,2013,William Kent Krueger
0670026611,Pamela Dorman Books,2013,Jojo Moyes
1476734615,Blank Publisher,2013,Thomas Keneally
0312655479,Minotaur Books,2013,Louise Penny
0061348171,Blank Publisher,2013,Diane Mott Davidson
1439102457,Blank Publisher,2013,Kathy Reichs
0778315339,Harlequin MIRA,"August 27, 2013",Jason Mott
0385344341,Blank Publisher,2013,Lee Child
0399162496,G.P. Putnam's Sons,2013,Clive Cussler
0425268330,Berkley,"September 3, 2013",Some Random Author
0385528787,Nan A. Talese/Doubleday,"September 3, 2013",Margaret Atwood
0399158987,Blank Publisher,2013,Sue Grafton
0399159509,Blank Publisher,2013,Michael Brandman
0062134671,William Morrow,2013,J. A. Jance
0374281092,Blank Publisher,2013,Alice McDermott
0345522028,Blank Publisher,2013,Jamie Ford
1476703221,Blank Publisher,2013,Spencer Quinn
0385534930,Blank Publisher,2013,Jonathan Lethem
1455520659,Blank Publisher,2013,Nicholas Sparks
1455576425,Blank Publisher,2013,Nelson DeMille
0399164421,Blank Publisher,2013,J. D. Robb
1594204233,Penguin Press,2013,Thomas Pynchon
0399164731,G. P. Putnam's Sons,2013,Catherine Coulter
0670785695,Blank Publisher,2013,Terry McMillan
1476727651,Scribner,2013,Stephen King
0307265749,Alfred A. Knopf,2013,Jhumpa Lahiri
1455501514,Blank Publisher,2013,Sandra Brown
0316210986,Blank Publisher,2013,James Patterson
0670024856,Blank Publisher,2013,Elizabeth Gilbert
1455576646,Blank Publisher,2013,Jeffery Deaver
0399159304,G.P. Putnam's Sons,2013,John Sandford
1594204780,Blank Publisher,2013,Mary Oliver
0385351399,McSweeney's / Aflred A. Knopf,2013,Dave Eggers
0399164146,Blank Publisher,2013,Stuart Woods
0385533039,Blank Publisher,2013,Chuck Palahniuk
0312548176,Blank Publisher,2013,Robert Kirkman
0553804693,Spectra Books,2010,Scott Lynch
0525952969,Blank Publisher,2013,Elizabeth George
1455527203,Blank Publisher,2013,Scott Turow
0307960498,Blank Publisher,2013,Jo Nesb©ı
0385350864,Blank Publisher,2013,Helen Fielding
0385349963,Knopf,2013,Anne Rice
0316074314,"Little, Brown and Company","October 15, 2013",Eleanor Catton
0399159207,Putnam,"October 15th, 2013",Stephen R. Donaldson
0385537131,Blank Publisher,2013,John Grisham
0316055433,"Little, Brown and Company",2013,Donna Tartt
0061941026,Harper,2013,Wally Lamb
0399157883,Blank Publisher,2013,Robert B. Parker
0679644059,Random House,2013,Billy Collins
0425269515,Blank Publisher,2013,Charlaine Harris
0385343221,Blank Publisher,2013,Danielle Steel
1250027659,St. Martin's Press,2013,Lisa Scottoline
1451647050,Blank Publisher,2013,Karen Kingsbury
0399158081,Putnam Adult,Date 0,Clive Cussler
0062107313,Ecco,2013,Amy Tan
0307378411,Blank Publisher,2013,Alexander McCall Smith
1400065941,Blank Publisher,2013,Fannie Flagg
0062294377,Blank Publisher,2013,Mitch Albom
0399157573,Blank Publisher,2013,Patricia Daniels Cornwell
1455525839,Grand Central Publishing,2013,Douglas J. Preston
1439140219,simon & shuster,2013,Some Random Author
0316098868,"Little, Brown & Co.",2013,Anita Shreve
0345542886,Blank Publisher,2013,Janet Evanovich
1455521310,Blank Publisher,2013,David Baldacci
0316210919,Blank Publisher,2013,James Patterson
0399160477,Blank Publisher,2013,Tom Clancy
0316069515,Blank Publisher,2013,Michael Connelly
0553808036,Blank Publisher,2014,Benedict Carey
0399165894,Blank Publisher,2014,Jack Higgins
0670024783,Viking,2014,Sue Monk Kidd
0425270793,Blank Publisher,2014,Christine Feehan
0399164154,Blank Publisher,2014,Stuart Woods
0061969702,Blank Publisher,2014,Bernard Cornwell
0525953086,Blank Publisher,2014,Lisa Gardner
0399165126,G. P. Putnam's Sons,2014,Jayne Ann Krentz
0399165266,Blank Publisher,2014,Robert Knott
0316207047,Blank Publisher,2014,James Patterson
0385344058,"Random House Publishing Group, bantam books paperback edition",2014,Alan Bradley
0062196243,Blank Publisher,2014,Armistead Maupin
0345516532,Blank Publisher,2013,Nancy Horan
0062237187,HarperCollins Publishers Inc,2014,Charles Todd
1400065755,Blank Publisher,2014,Anna Quindlen
0062291408,Harper,2014,Some Random Author
0385351836,Blank Publisher,2014,B. J. Novak
0399166300,Putnam Adult,2014,Some Random Author
1250050936,Blank Publisher,2014,Jackie Collins
1455547387,Blank Publisher,2014,Leila Meacham
0345543793,Blank Publisher,2014,Suzanne Brockmann
0316211125,Blank Publisher,2013,James Patterson
0345505751,Blank Publisher,2014,Jonathan Kellerman
0399159738,Blank Publisher,2014,Alex Berenson
0804139024,Crown,2014,Andy Weir
0385538499,Blank Publisher,2014,Jennifer McMahon
0062083392,Blank Publisher,2014,Laura Lippman
0307908259,Blank Publisher,2014,Alexander McCall Smith
039916443X,Blank Publisher,2014,J. D. Robb
0765321564,Tor Books,"Feb 18, 2014",David Weber
1476745005,Blank Publisher,2014,Judith A. Jance
1451693567,Scribner,2014,Alice Hoffman
0061957933,Voyager,2014,Kim Harrison
0345543084,Bantam – Random House,"February 25, 2014",Janet Evanovich
0758280378,Kensington Publishing,2014,Joanne Fluke
0307594130,Blank Publisher,2014,Lorrie Moore
0765326361,Tor Books,"March 4, 2014",Brandon Sanderson
0399167293,Blank Publisher,2014,Clive Cussler
0399158138,Blank Publisher,2014,Randy Wayne White
1250052017,Blank Publisher,2014,Robert Kirkman
1594204993,The Penguin Press,2014,Phil Klay
0345530918,Blank Publisher,2014,Danielle Steel
042525674X,Blank Publisher,2014,Patricia Briggs
1250034485,Blank Publisher,2014,Jeffrey Archer
0399160760,G.P. Putnam Sons,2014,C. J. Box
0385348452,Crown,2014,Chris Pavone
0765322749,Blank Publisher,2014,Brian Herbert
0786965118,Wizards of the Coast,"March 11, 2014",R. A. Salvatore
0525953493,Dutton,2014,Harlan Coben
038553826X,Blank Publisher,2013,Terry Pratchett
1414336241,Blank Publisher,2014,Joel C. Rosenberg
1594747156,Quirk Books,2014,Ian Doescher
1250036135,Blank Publisher,2014,Olen Steinhauer
1455599492,Blank Publisher,2014,Jean Hanff Korelitz
0316211230,Blank Publisher,2014,James Patterson
0345528840,Blank Publisher,2014,Debbie Macomber
0312591845,St. Martin's Press,"Mar 25, 2014",Jane Green
0345548388,Blank Publisher,2014,Anne Perry
0451417054,Blank Publisher,2014,J. R. Ward
147674906X,Blank Publisher,2014,Mary Higgins Clark
0802122647,Atlantic Monthly Press,2014,Donna Leon
0312614586,Blank Publisher,2014,Nevada Barr
0062279386,Blank Publisher,2014,Ted Bell
031632468X,Blank Publisher,2014,Emma Donoghue
1250032350,Blank Publisher,2014,Barbara Taylor Bradford
1250010098,St. Martin's Press,2014,Lisa Scottoline
1594633177,Blank Publisher,2014,Peter Matthiessen
0670026115,Blank Publisher,2014,Ann B. Ross
1476736332,Baen Books,2014,David Weber
0399164456,Blank Publisher,2014,Nora Roberts
1616203218,Algonquin Books of Chapel Hill,2014,Gabrielle Zevin
1455521205,Blank Publisher,2014,David Baldacci
0385351852,Blank Publisher,2014,Maeve Binchy
0061779768,William Morrow,2014,Christopher Moore
0399165142,Blank Publisher,2014,Amanda Quick
0061713783,Harper,2014,Francine Prose
0061656003,William Morrow,2014,Andrew Gross
0062311077,Blank Publisher,2014,Greg Iles
1250020042,St. Martin's Paperbacks,2014,Iris Johansen
031621129X,"Little, Brown & Co.",2014,James Patterson
0399162380,Blank Publisher,2014,John Sandford
1451628315,Simon & Schister,2014,Richard J. Evans
1476746583,Scribner,"May 6, 2014",Anthony Doerr
1400069629,Random House,2014,Ruth Reichl
0399161589,Blank Publisher,2014,Ace Atkins
0871407868,WW Norton & Co,2014,Larry McMurtry
1476709181,Blank Publisher,2014,John T. Lescroart
1476758905,Simon & Schuster,2014,Rick Springfield
0374266328,Blank Publisher,2014,Michael Cunningham
0385351372,Blank Publisher,2014,Jo Nesbø
1455517135,Grand Central Publishing,2014,Jeffery Deaver
0062135252,William Morrow,2014,James Rollins
0345546881,Ballantine Books,2014,Emily Giffin
1451640218,Blank Publisher,2014,Stephen Hunter
0399167315,G. P. Putnam's Sons,2014,Clive Cussler
0525954600,Blank Publisher,2014,Joseph Finder
1594631573,"Riverhead Books, a member of Penguin Group (USA)",2014,Emma Straub
1476754454,Scribner,2014,Stephen King
0425255662,Blank Publisher,2014,Laurell K. Hamilton
0345527410,Blank Publisher,2014,Jeff Shaara
081299289X,Random House,2014,Some Random Author
0385344430,Blank Publisher,2014,"Gabaldon, Diana"
0765329069,Blank Publisher,2014,Orson Scott Card
0345542924,Blank Publisher,2014,Janet Evanovich
0316206873,Blank Publisher,2014,Robert Galbraith
145161778X,Blank Publisher,2014,Jennifer Weiner
0345537262,Bantam,"Jun 17, 2014",George R. R. Martin
0316405345,Blank Publisher,2014,James Patterson
0345547497,Delacorte Press,June 24th 2014,Karin Slaughter
0525426582,Blank Publisher,2014,Jojo Moyes
159474713X,Quirk Books,2014,Ian Doescher
0062220500,HarperCollins,2014,Jacqueline Winspear
1250042968,Blank Publisher,2014,Sherrilyn Kenyon
0399157344,Blank Publisher,2014,Catherine Coulter
1250049377,Blank Publisher,2014,Rainbow Rowell
0345540700,Blank Publisher,2014,Terry Brooks
0385534833,Blank Publisher,2014,Chris Bohjalian
1250029570,Blank Publisher,2015,Linda Castillo
0670025593,Viking,"July 15, 2014",Deborah E. Harkness
006232005X,Blank Publisher,2014,Daniel Silva
0399169113,Blank Publisher,2014,Stuart Woods
039917334X,Blank Publisher,2014,Mark Greaney
0345530942,Delacorte Press,2014,Danielle Steel
0062134701,Blank Publisher,2014,Judith A. Jance
0399167064,G.P. Putnam's Sons,2014,Liane Moriarty
0425256227,Ace Books,07/29/2014,Ilona Andrews
1400067243,Blank Publisher,2014,Amy Bloom
0670015679,viking adult,"aug. 5, 2014",Lev Grossman
0765327740,Tor Books,"Aug 05, 2014",Terry Goodkind
0399171231,Blank Publisher,2014,W. E. B. Griffin
0385352107,Knopf,2014,春樹 村上
0553391135,Blank Publisher,2014,Debbie Macomber
0061784818,Blank Publisher,2015,James Rollins
1455581127,Blank Publisher,2014,Sandra Brown
147675666X,Simon & Schuster,2014,Matthew Thomas
0062106074,HarperCollins,2014,Susan Elizabeth Phillips
0062306812,Ecco,"Aug 26, 2014",Jessie Burton
0765375869,Tor Books,"Aug 26, 2014",John Scalzi
0804178747,Blank Publisher,2014,Lee Child
0399167447,Blank Publisher,2014,Jan Karon
1400065674,Random House,2014,David Mitchell
0670026328,Viking,"September 2, 2014",Tana French
1451687478,Blank Publisher,2014,Karen Kingsbury
0385539703,Blank Publisher,2014,Ian McEwan
1451626118,Blank Publisher,2014,Philippa Gregory
0307956997,Blank Publisher,2014,James Ellroy
0525953094,Dutton,2015,Ken Follett
0374292086,"Farrar, Straus and Giroux",2014,John Darnielle
1594633118,Riverhead Books,2014,Sarah Waters
0399162364,Blank Publisher,2014,Jonathan Kellerman
0345544013,Blank Publisher,2014,Kathy Reichs
0062271601,William Morrow,"Sep 23, 2014",Deborah Crombie
1439187037,Simon & Schuster,2014,Garth Stein
0399162372,Blank Publisher,2014,John Sandford
0374187614,"Farrar, Straus and Giroux",2014,Marilynne Robinson
0399169121,Blank Publisher,2014,Stuart Woods
0553391151,Blank Publisher,2014,Debbie Macomber
0345544927,Ballantine Books,"October 14, 2014",Jodi Picoult
0385352859,Blank Publisher,2014,Richard Flanagan
1594204799,Blank Publisher,2014,Mary Oliver
038553714X,Doubleday,2014,John Grisham
0385538030,Blank Publisher,2014,Chuck Palahniuk
006227645X,William Morrow,"Oct 21, 2014",Wilbur Smith
0756410436,DAW,"Oct 28, 2014",Patrick Rothfuss
0307962520,Knopf,2014,Anne Rice
0399172920,Blank Publisher,2014,Clive Cussler
0316225932,Little Brown,2014,Michael Connelly
0061692069,"Ecco, an imprint of HarperCollins Publishers",2014,Richard Ford
0062325345,William Morrow,2014,Patricia Daniels Cornwell
1455525898,Blank Publisher,2014,Douglas J. Preston
1455521191,Grand Central Publishing,2014,David Baldacci
1476728208,Simon & Schuster,2014,Richard J. Evans
1476763127,Blank Publisher,2014,Mary Higgins Clark
0345543122,Random House Publishing Group - Bantam Dell,Nov 18 2014,Janet Evanovich
159420571X,Blank Publisher,2014,Celeste Ng
031621096X,Blank Publisher,2014,James Patterson
1250027705,St. Martin's Press,2014,Lisa Scottoline
0399173358,Blank Publisher,2014,Mark Greaney
1439199353,Scribner,2014,Anita Diamant
0345543858,Blank Publisher,2014,Tess Gerritsen
0345539931,Delacorte Press,2015,Alan Bradley
0399165134,Blank Publisher,2015,Jayne Ann Krentz
1476746826,Blank Publisher,2015,Glenn Beck
1594633665,Penguin Books,2015,Paula Hawkins
0345545877,Blank Publisher,2015,Dean Ray Koontz
0525954546,Blank Publisher,2015,Tami Hoag
1439172560,Scribner,"Jan 13, 2015",Miranda July
1250019834,St. Martin's Press,2015,Sarah Addison Allen
031621115X,"Little, Brown and Company",2015,James Patterson
0312577222,St. Martin's Press,2015,Kristin Hannah
0062330268,William Morrow,"Feb 03, 2015",Neil Gaiman
0525954562,Blank Publisher,2015,Lisa Gardner
1594205418,Blank Publisher,2015,Nick Hornby
1616203048,Blank Publisher,2015,Tim Johnston
1101874279,Blank Publisher,2015,Anne Tyler
0345541375,Ballantine Books,2015,Jonathan Kellerman
0399169520,Blank Publisher,2015,M. O. Walsh
0805093990,Blank Publisher,2015,Harry Brandt
0345531795,Bantam Books,2015,Laurie R. King
0385343159,Delacorte Press,2015,Danielle Steel
0062083422,Blank Publisher,2015,Laura Lippman
0525954295,Blank Publisher,2015,Jennifer Chiaverini
0060004908,Blank Publisher,2015,Dennis Lehane
1250045428,Blank Publisher,2015,Olen Steinhauer
0062220551,Blank Publisher,2015,Jacqueline Winspear
0525953507,Dutton,2015,Harlan Coben
0385523238,Blank Publisher,2015,Sara Gruen
0062349376,HarperCollins Publishers,2015,T. C. Boyle
0316410977,Blank Publisher,2015,James Patterson
1451687508,Simon & Schuster,2015,Karen Kingsbury
0399167641,Blank Publisher,2015,Philip Kerr
0399170863,Blank Publisher,2015,Nora Roberts
125001011X,St. Martin's Press,2015,Lisa Scottoline
1455559822,Blank Publisher,2015,David Baldacci
0307594173,Blank Publisher,2015,Toni Morrison
0399165150,Blank Publisher,2015,Amanda Quick
0399168796,Blank Publisher,2015,John Sandford
1501110993,Simon & Schuster,"Apr 28, 2015",Mary Higgins Clark
031640702X,Blank Publisher,2015,James Patterson
0316176532,Blank Publisher,2015,Kate Atkinson
1476789630,Simon & Schuster,2015,Jessica Knoll
1455517151,Grand Central Publishing,2015,Jeffery Deaver
0062190377,HarperCollins,2015,Neal Stephenson
0399170847,Blank Publisher,2015,Ace Atkins
0446580856,Grand Central Publishing,2015,Nelson DeMille
0399167323,Blank Publisher,2014,Clive Cussler
1101875895,Knopf,2015,Kent Haruf
0385352875,Alfred A. Knopf,2015,Some Random Author
1501100076,Blank Publisher,2015,Stephen King
1101875046,Blank Publisher,2015,Judy Blume
0062132563,William Morrow,"Jun 09, 2015",Dorothea Benton Frank
0062290398,Blank Publisher,2015,Erika Johansen
0385342942,Blank Publisher,2015,Annie Barrows
1250007046,Blank Publisher,2015,Barbara Delinsky
044655393X,Grand Central Publishing,6/16/2015,Brad Meltzer
0345531000,Bantam Books,2015,Danielle Steel
0316407011,Blank Publisher,2015,James Patterson
1101874996,Alfred A. Knopf,2015,Don Winslow
0062320130,Blank Publisher,2015,Daniel Silva
0399171274,Blank Publisher,2015,Catherine Coulter
0062409859,"Harper, an imprint of HarperCollinsPublishers",2015,Some Random Author
0804137250,Crown Publishers,2015,Ernest Cline
0345534182,Ballantine Books,2015,Paula McLain
1451693591,Simon & Schuster,2015,Alice Hoffman
052542914X,Pamela Dorman Books/Viking,2015,J. Ryan Stradal
145161781X,Atria Books,2015,Jennifer Weiner
1250077176,Blank Publisher,2015,Stephanie Clifford
0399163840,Putnam,2015,Sue Grafton
1250022088,Minotaur Books,2015,Louise Penny
1476758794,Blank Publisher,2015,Philippa Gregory
0385354282,Knopf,2015,Stieg Larsson
0374239215,"Farrar, Straus and Giroux","Sep 01, 2015",Jonathan Franzen
034551162X,Lucas Books; Random House,2010,Mary Franklin
0804178771,Delacorte Press,2015,Lee Child
081299891X,Blank Publisher,2015,Salman Rushdie
006229766X,Blank Publisher,2015,Judith A. Jance
1594634475,Riverhead Books,"September 15, 2015",Lauren Groff
0316410985,Blank Publisher,2015,James Patterson
0525426590,Blank Publisher,2015,Jojo Moyes
0062429051,Blank Publisher,2015,Karin Slaughter
0765378558,Tor Books,October 6th 2015,Brandon Sanderson
0553391690,Ballantine Books,2015,Debbie Macomber
1455520616,Blank Publisher,2017,Nicholas Sparks
0062319191,Harper,2015,Adriana Trigiani
0765321874,Tor Books,"Oct 13, 2015",David Weber
0385539436,Doubleday,Jan 2015,John Grisham
0316349933,Blank Publisher,2015,Robert Galbraith
0062351427,Harper Perennial,"Oct 20, 2015",Joseph Fink
006232540X,William Morrow,2015,Patricia Daniels Cornwell
0525954333,Blank Publisher,2015,Elizabeth George
0060548959,Blank Publisher,2015,Gregory Maguire
1501111671,Blank Publisher,2015,Stephen King
0316225886,"Little, Brown and Co.",2015,Michael Connelly
1451664168,Blank Publisher,2015,John Irving
1501116975,Blank Publisher,2015,Isabel Allende
0062294415,Harper,2015,Mitch Albom
039916149X,Blank Publisher,2015,Robert Crais
0345542967,Random House Publishing Group,2015,Janet Evanovich
1501108557,Simon & Schuster,2015,Mary Higgins Clark
1501119796,Simon & Schuster,2015,Richard J. Evans
0316407046,"Little,Brown and Co.","Nov. 23, 2015",James Patterson
0399176764,Blank Publisher,2015,Mark Greaney
0385539258,Doubleday,2015,Hanya Yanagihara
1400067693,Random House,2016,Elizabeth Strout
0399174680,Blank Publisher,2016,Stuart Woods
0525954554,Dutton,2016,Tami Hoag
0525429476,Viking,2016,Janice Y. K. Lee
0345531051,Delacorte Press,2016,Danielle Steel
0451474627,NAL,2016,Karen White
0765378574,Tor,January 26th 2016,Brandon Sanderson
0345528697,Delacorte Press,2016,Melanie Benjamin
0399170898,Blank Publisher,2016,J. D. Robb
1476781222,Blank Publisher,2015,Lois McMaster Bujold
1250061628,St. Martin's Press,"February 16, 2016",Jeffrey Archer
1101990260,Blank Publisher,2016,Fiona Barton
1400068266,Blank Publisher,2016,Ethan Canin
0553391925,Ballantine Books,2016,Debbie Macomber
0765376474,A Tom Doherty Associates Book,2016,Some Random Author
0399176608,G.P. Putnam's Sons,2016,C. J. Box
1455536342,Blank Publisher,2016,Jeffery Deaver
0802124801,Atlantic Monthly Press,2016,Donna Leon
1501110721,Simon & Schuster,2016,J. A. Jance
034553106X,Delacorte Press,2016,Danielle Steel
0525953000,Viking,2016,Tracy Chevalier
0525955097,Dutton,2016,Harlan Coben
0062414216,Ecco,2016,Cynthia D'Aprix Sweeney
0812993101,Random House,2016,Helen Simonson
1416954120,Simon Spotlight Entertainment,2008,Chelsea Handler
039306235X,W. W. Norton,2008,Fareed Zakaria
0061628018,William Morrow,2008,Elissa Wall
0446537519,Grand Central Pub.,2008,Ron Paul
1416562451,Simon & Schuster,"April 1, 2008",Jimmy Carter
0767928350,Broadway,"May 6, 2008",Jim Webb
0060798718,Harper,2008,Theodore C. Sorensen
0767927567,Broadway Books,2007,Carolyn Jessop
1592403611,Gotham Books,2008,Jim Nantz
0786865652,Hyperion,2008,Julie Andrews
0670020745,Viking,2008,Jill Bolte Taylor
0312372655,St. Martin's Press,2008,William Shatner
006078234X,William Morrow,2008,Cokie Roberts
0061118184,Smithsonian Books,2008,Kenneth C. Davis
0307338770,Crown,"May 13, 2008",Benjamin Wallace
1594201455,"Penguin Press HC, The","January 1, 2008",Michael Pollan
0805076034,Henry Holt and Co.,2008,Tony Horwitz
0446580503,Grand Central Pub.,2007,Stephen Colbert
1586485563,PublicAffairs,"April 21, 2008",Scott Mcclellan
0385520344,Spiegel & Grau,"May 6, 2008",Matt Taibbi
159315481X,Vanguard Press,"May 27, 2008",Vincent Bugliosi
030740515X,Crown,"May 13, 2008",Patrick J. Buchanan
0061474622,Ecco,2008,Richard A. Clarke
0618683356,Houghton Mifflin,"January 31, 2008",David Sheff
0316143472,"Little, Brown and Company",2008 June,David Sedaris
1594489947,Riverhead Hardcover,"June 3, 2008",Lewis Black
0805077928,Henry Holt,2008,Thurston Clarke
0385524382,Currency,"June 3, 2008",Some Random Author
0307395634,Crown Publishers,2008,David Sirota
0446581194,Grand Central Publishing,"June 11, 2008",Douglas J. Preston
087113988X,Atlantic Monthly Press,2008,Mark Bowden
0375424040,Pantheon,"May 13, 2008",Leonard Mlodinow
0307383296,Crown Publishers,2008,Pete Sampras
1400064805,Random House,2006,Tim Russert
1416950737,Simon Spotlight Entertainment,"March 11, 2008",Tori Spelling
0061234001,William Morrow,2006,Steven D. Levitt
0061547751,HarperCollins,2008,Dick Morris
1400043581,Knopf,"June 3, 2008",Michael Dobbs
0385506252,Doubleday,"March 25, 2008",Douglas A. Blackmon
1416534075,Simon & Schuster,"July 1, 2008",David Maraniss
0374105235,"Farrar, Straus and Giroux",2007,Ishmael Beah
1401323022,Hyperion,"July 8, 2008",Some Random Author
1416587624,Simon Spotlight Entertainment,2008,Christopher Ciccone
0385526393,Doubleday,2008,Jane Mayer
0061473413,Harper,"May 20, 2008",Bobby Murcer
1416964053,Simon Spotlight Entertainment,"July 15, 2008",Michael Ian Black
0061147710,William Morrow,2008,T. J. English
