ISBN,Author,Publisher,Publish Date
0758211848,Kensington Books,2009,Lisa Jackson
0312351666,St. Martin's Press,2009,Lisa Kleypas
1416533168,Simon & Schuster,2008,Jennifer Chiaverini
0061468363,Harpercollins,Date 0,Raymond E. Feist
0765317583,Forge,2009,William R. Forstchen
0451462564,Roc,2009,Jim Butcher
1416570861,Simon & Schuster,2009,Mary Higgins Clark
0061348139,William Morrow,"April 7, 2009",Diane Mott Davidson
0399155694,G.P. Putnam's Sons,2009,Nevada Barr
1416562176,Scribner,2009,Carol Higgins Clark
1416597883,Scribner,2009,"Parker, John L. Jr."
0312380720,St. Martin's Press,2009,Lisa Scottoline
1599951959,Center Street,2009,Ted Dekker
0312385188,St. Martin's Press,2009,Sandra Dallas
0307346528,Crown Publishers,2009,Megan McCafferty
0553805134,Bantam Books,2009,Luanne Rice
044654695X,Grand Central Pub.,2009,David Baldacci
0375424490,Pantheon Books,2009,Alexander McCall Smith
0399155783,G.P. Putnam's Sons,2009,Stuart Woods
0399155805,G. P. Putnam's Sons,2009,Jayne Ann Krentz
0312368119,St. Martin's Press,2009,Iris Johansen
1416550771,Pocket Books,2009,Christie Golden
1565125967,Algonquin Books of Chapel Hill,2009,Robert Goolrick
0316018767,"Little, Brown and Company",2009,James Patterson
0778326438,MIRA Books,2009,Debbie Macomber
0553804545,Bantam Books,2009,Laurie R. King
1400065119,Random House,2009,Elizabeth Berg
0758212720,Kensington Books,2009,Fern Michaels
0441017150,Ace Books,2009,Charlaine Harris
0385526342,doubleday,2009,Chuck Palahniuk
0547273428,Houghton Mifflin Harcourt,2009,J. R. R. Tolkien
0399155716,G. P. Putnam's Sons,2009,Robert B. Parker
1439138311,Scribner,2009,Colm Tóibín
0399155678,G. P. Putnam's Sons,2009,John Sandford
0446580295,Grand Central Pub.,2009,Douglas J. Preston
0312567243,Thomas Dunne Books/St. Martin's Press,2009,Wilbur Smith
0312359322,Minotaur Books,2009,John Hart
0061733148,William Morrow,2009,Elmore Leonard
1594202176,Penguin Press,2009,Reif Larsen
0525950974,Dutton,2009,Raymond Khoury
0385341059,Delacorte Press,2009,Mary Balogh
0316166308,"Little, Brown and Co.",2009,Michael Connelly
1400067111,Random House,2009,Lisa See
0373773781,HQN,2009,Diana Palmer
0425227723,"Berkley Books, NY",2009,Laurell K. Hamilton
0399155651,G.P. Putnam's Sons,2009,Clive Cussler
0385340273,Delacorte Press,2009,Danielle Steel
0061558230,William Morrow,2009,Guillermo del Toro
0425227731,Berkley Sensation,2009,MaryJanice Davidson
0307271560,Alfred A. Knopf,2009,John Updike
0307393860,Shaye Areheart Books,2009,Alice Hoffman
0553807145,Bantam Books,2009,Dean Ray Koontz
1401340903,Voice,2009,Katherine Howe
